P,S,Q,PF
1.08795,4.69322,4.56538,1.#QNAN
0.775567,4.03697,3.96177,1.#QNAN
0.801178,4.91362,4.84787,1.#QNAN
0.901486,4.46063,4.36858,1.#QNAN
1.19772,4.4677,4.30416,1.#QNAN
0.870255,4.43758,4.35141,1.#QNAN
0.98873,4.61092,4.50366,1.#QNAN
0.966487,4.85529,4.75813,1.#QNAN
1.19258,5.58012,5.45119,1.#QNAN
1.06248,4.85147,4.7337,1.#QNAN
1.24881,5.7664,5.62955,1.#QNAN
1.05031,4.64844,4.52822,1.#QNAN
0.94745,4.95184,4.86036,1.#QNAN
445.967,984.983,878.24,0.452766
440.046,468.596,161.066,-0.939072
448.366,477.933,165.493,-0.938136
453.755,483.127,165.886,-0.939204
460.985,490.497,167.569,-0.939834
467.241,496.523,167.994,-0.941024
470.218,499.333,168.012,-0.941693
479.004,507.214,166.798,-0.944382
503.963,529.911,163.789,-0.951034
520.536,545.738,163.926,-0.953821
526.929,552.442,165.947,-0.953817
524.522,550.443,166.928,-0.952907
520.119,546.572,167.981,-0.951601
518.468,545.203,168.635,-0.950962
517.467,544.232,168.57,-0.950821
519.265,545.585,167.41,-0.951759
519.804,546.03,167.19,-0.95197
516.255,542.588,166.982,-0.951467
515.374,541.831,167.245,-0.95117
516.592,543.037,167.397,-0.951302
516.739,542.964,166.707,-0.951699
516.685,543.07,167.216,-0.951416
519.336,545.641,167.376,-0.95179
519.879,546.007,166.881,-0.952148
517.304,543.895,167.984,-0.95111
518.049,544.858,168.809,-0.950795
518.173,544.579,167.521,-0.95151
517.901,544.326,167.538,-0.951454
518.691,545.167,167.832,-0.951434
521.006,547.185,167.223,-0.952158
523.731,550.035,168.06,-0.952178
522.556,549.026,168.418,-0.951788
523.239,549.477,167.769,-0.952248
524.258,550.543,168.079,-0.952257
525.125,551.41,168.216,-0.952331
526.356,552.702,168.608,-0.952333
526.835,553.178,168.673,-0.952379
526.912,552.938,167.643,-0.952931
526.156,552.325,167.999,-0.952619
525.481,551.711,168.093,-0.952456
525.424,551.912,168.925,-0.952008
526.155,552.396,168.236,-0.952495
526.614,552.742,167.933,-0.95273
526.606,552.981,168.742,-0.952305
527.422,553.71,168.584,-0.952524
527.757,554.207,169.167,-0.952275
528.393,554.423,167.888,-0.953049
528.824,554.667,167.334,-0.953408
529.431,555.308,167.543,-0.953399
530.305,556.15,167.569,-0.953529
531.255,557.034,167.496,-0.953721
532.477,557.902,166.504,-0.954426
533.431,558.599,165.785,-0.954943
534.598,559.717,165.794,-0.955123
535.577,561.014,167.015,-0.954659
536.355,561.391,165.781,-0.955403
535.999,561.056,165.799,-0.955339
536.685,561.511,165.117,-0.955787
537.481,562.577,166.155,-0.95539
538.393,562.951,164.46,-0.956376
538.553,563.372,165.374,-0.955946
538.952,563.62,164.919,-0.956233
539.58,564.339,165.323,-0.956128
541.168,565.602,164.445,-0.956801
541.75,566.361,165.141,-0.956546
542.802,567.732,166.39,-0.956088
544.306,569.138,166.279,-0.956369
545.157,569.812,165.801,-0.956731
545.651,570.435,166.315,-0.956553
546.814,571.918,167.584,-0.956106
547.337,572.05,166.323,-0.956799
547.147,572.027,166.868,-0.956506
547.662,572.93,168.269,-0.955898
548.303,573.751,168.979,-0.955647
548.37,573.33,167.323,-0.956466
548.643,573.093,165.608,-0.957338
549.074,573.757,166.478,-0.95698
549.449,573.969,165.971,-0.95728
549.39,573.97,166.169,-0.957176
549.975,574.688,166.713,-0.956999
550.462,574.825,165.578,-0.957616
550.059,574.521,165.861,-0.957421
550.406,575.134,166.829,-0.957006
551.46,575.377,164.169,-0.958431
551.493,575.351,163.963,-0.958534
551.257,575.261,164.443,-0.958272
552.514,576.326,163.95,-0.958684
552.676,576.438,163.798,-0.958778
553.217,577.071,164.202,-0.958663
554.617,578.722,165.287,-0.958347
555.108,578.968,164.496,-0.958789
555.13,578.944,164.338,-0.958866
555.74,579.764,165.166,-0.958562
555.708,579.516,164.401,-0.958917
555.734,579.401,163.905,-0.959153
556.646,580.479,164.623,-0.958943
556.852,580.645,164.511,-0.959024
557.196,580.877,164.167,-0.959232
558.167,581.836,164.264,-0.95932
558.616,582.166,163.906,-0.959548
558.879,582.358,163.691,-0.959683
559.607,582.944,163.291,-0.959967
559.493,582.799,163.162,-0.960011
560.109,584.006,165.348,-0.959082
561.213,584.634,163.82,-0.959939
560.995,584.431,163.842,-0.9599
561.873,585.259,163.788,-0.960042
562.615,585.543,162.25,-0.960843
562.624,585.693,162.759,-0.960613
563.551,586.695,163.161,-0.960552
564.103,587.286,163.382,-0.960524
563.861,587.097,163.538,-0.960421
566.12,589.302,163.662,-0.960662
565.962,589.079,163.405,-0.960757
566.133,589.576,164.6,-0.960238
567.265,590.045,162.369,-0.961393
566.959,589.946,163.076,-0.961035
567.816,590.802,163.194,-0.961093
568.315,591.316,163.318,-0.961102
568.331,591.337,163.339,-0.961095
569.167,592.322,163.993,-0.960909
568.527,591.312,162.564,-0.961467
569.264,592.404,163.953,-0.960939
569.638,592.64,163.508,-0.961187
569.172,592.393,164.233,-0.960802
570.479,593.989,165.457,-0.960421
570.598,593.909,164.76,-0.96075
571.14,594.731,165.843,-0.960333
572.23,595.362,164.344,-0.961146
571.871,595.265,165.238,-0.9607
572.782,596.263,165.683,-0.960619
572.495,595.754,164.839,-0.960959
572.872,596.465,166.099,-0.960444
573.471,596.754,165.064,-0.960984
573.253,596.595,165.248,-0.960874
574.38,597.829,165.796,-0.960775
574.135,597.52,165.525,-0.960864
574.364,598.049,166.639,-0.960396
575.029,598.349,165.419,-0.961026
574.912,598.183,165.224,-0.961098
575.899,598.787,163.972,-0.961775
575.536,598.399,163.831,-0.961792
576.504,599.417,164.146,-0.961774
576.142,598.834,163.289,-0.962105
576.151,599.211,164.634,-0.961515
576.972,599.706,163.557,-0.962091
576.935,599.858,164.245,-0.961785
577.84,600.708,164.169,-0.961931
577.446,600.452,164.619,-0.961685
577.71,600.775,164.87,-0.961607
577.476,600.223,163.674,-0.962102
577.762,600.835,164.904,-0.961599
577.925,601.096,165.284,-0.961453
577.781,601.346,166.691,-0.960813
578.804,602.044,165.659,-0.961398
