P,S,Q,PF
-5.65E-07,0.000834262,0.000834261,1.#QNAN
6.95E-06,0.000650266,0.000650229,1.#QNAN
1.07E-06,0.000766839,0.000766838,1.#QNAN
-2.42E-06,0.00078002,0.000780016,1.#QNAN
-4.11E-06,0.000632396,0.000632383,1.#QNAN
-1.33E-06,0.000760813,0.000760812,1.#QNAN
5.72E-06,0.000772162,0.00077214,1.#QNAN
-1.17E-05,0.000740409,0.000740316,1.#QNAN
1.22E-06,0.000822141,0.00082214,1.#QNAN
-3.58E-06,0.000801522,0.000801514,1.#QNAN
524.982,628.835,346.16,0.834849
518.845,610.25,321.254,0.850218
518.465,532.206,120.155,0.974181
494.807,508.266,116.188,0.973521
461.304,474.401,110.703,0.972392
424.453,437.691,106.833,0.969754
396.9,410.251,103.81,0.967456
380.271,394.362,104.474,0.96427
375.132,388.999,102.937,0.964352
372.22,386.464,103.956,0.963142
371.912,385.915,103.014,0.963715
372.509,386.757,104.009,0.963161
372.445,386.615,103.712,0.963347
372.554,386.976,104.66,0.962732
371.681,386.206,104.921,0.96239
371.4,386.374,106.523,0.961244
370.043,385.336,107.479,0.960313
370.798,385.723,106.258,0.961308
371.056,386.032,106.481,0.961205
369.005,383.961,106.12,0.961048
369.157,384.422,107.254,0.960291
369.755,384.658,106.034,0.961256
369.12,384.071,106.118,0.961072
369.664,384.353,105.24,0.961784
369.082,384.247,106.886,0.960532
367.786,382.983,106.816,0.960318
369.128,384.361,107.134,0.960368
369.153,384.483,107.485,0.960129
369.317,384.544,107.141,0.960402
368.508,384.065,108.201,0.959495
368.573,383.666,106.553,0.960661
369.016,384.143,106.74,0.96062
367.63,382.674,106.244,0.960686
368.36,383.571,106.948,0.960343
368.924,384.272,107.514,0.960062
369.154,384.847,108.778,0.959223
365.988,382.029,109.539,0.958012
368.255,383.992,108.803,0.959017
368.106,384.152,109.868,0.958229
368.989,385.107,110.247,0.958147
367.844,383.979,110.141,0.957978
369.293,384.751,107.962,0.959824
366.564,382.205,108.22,0.959077
366.893,382.472,108.047,0.959268
366.984,382.492,107.811,0.959454
369.106,384.407,107.375,0.960196
368.598,383.564,106.099,0.960981
367.699,383.075,107.445,0.95986
368.824,383.847,106.337,0.960862
367.356,382.951,108.17,0.959278
368.918,383.921,106.28,0.96092
366.873,381.925,106.165,0.960589
367.658,382.045,103.855,0.962343
367.82,382.463,104.817,0.961713
369.145,383.982,105.709,0.96136
366.735,381.954,106.743,0.960156
366.87,382.045,106.604,0.960281
368.488,383.369,105.775,0.961183
368.936,384.237,107.353,0.960177
369.478,384.581,106.72,0.960726
368.956,384.433,107.981,0.959742
367.452,382.689,106.91,0.960185
369.35,384.694,107.566,0.960112
368.9,383.917,106.327,0.960883
368.928,384.012,106.571,0.96072
369.32,384.44,106.755,0.960671
367.629,382.808,106.728,0.960348
366.463,381.477,105.967,0.960644
366.784,381.652,105.489,0.961042
362.514,377.973,106.992,0.9591
363.935,379.025,105.883,0.960188
363.417,378.566,106.018,0.959985
365.888,380.411,104.108,0.961823
364.4,379.375,105.538,0.960527
365.844,380.704,105.328,0.960966
364.287,379.053,104.767,0.961045
365.603,380.351,104.886,0.961226
367.322,381.928,104.613,0.961756
366.198,381.277,106.167,0.96045
366.642,381.906,106.893,0.960031
365.316,380.611,106.814,0.959814
366.035,380.789,104.972,0.961253
366.992,381.943,105.815,0.960857
365.912,381.141,106.661,0.960044
364.704,379.958,106.582,0.959852
367.067,382.112,106.168,0.960626
366.895,381.984,106.299,0.960499
366.426,381.939,107.748,0.959383
366.279,381.851,107.935,0.95922
364.986,380.699,108.245,0.958725
366.168,381.476,106.981,0.959872
367.783,383.099,107.241,0.96002
366.887,381.929,106.132,0.960615
367.563,382.858,107.134,0.96005
366.308,381.625,107.034,0.959863
366.301,381.466,106.489,0.960245
368.179,383.298,106.591,0.960556
368.791,383.641,105.704,0.961293
368.059,383.152,106.483,0.960607
368.103,382.916,105.474,0.961316
368.595,383.11,104.456,0.962112
369.719,383.742,102.789,0.963458
369.616,383.999,104.111,0.962545
369.79,384.341,104.757,0.962138
370.55,385.001,104.494,0.962463
370.824,385.224,104.343,0.962618
371.575,386.151,105.093,0.962253
372.893,387.7,106.123,0.961808
