P,S,Q,PF
1.78729,5.94081,5.66558,1.#QNAN
17.4407,22.9033,14.8453,1.#QNAN
26.1417,27.6763,9.08767,1.#QNAN
22.9938,24.9949,9.79952,1.#QNAN
22.487,24.6116,10.0034,1.#QNAN
22.5246,24.5567,9.78127,1.#QNAN
22.4827,24.3963,9.47149,1.#QNAN
22.4768,24.327,9.30565,1.#QNAN
22.4806,24.5485,9.86179,1.#QNAN
22.4066,24.3107,9.43162,1.#QNAN
22.5199,24.664,10.0582,1.#QNAN
22.5263,24.4833,9.59155,1.#QNAN
22.359,24.4886,9.98818,1.#QNAN
22.5591,24.5429,9.66657,1.#QNAN
22.505,24.5398,9.78417,1.#QNAN
22.5281,24.9935,10.824,1.#QNAN
22.4616,24.6546,10.1651,1.#QNAN
22.5433,24.6167,9.88854,1.#QNAN
22.4595,24.5273,9.85708,1.#QNAN
22.5582,24.8618,10.4516,1.#QNAN
22.6562,24.7467,9.95455,1.#QNAN
22.5258,24.556,9.77674,1.#QNAN
22.3412,24.3076,9.57765,1.#QNAN
22.4364,24.8469,10.6759,1.#QNAN
22.5544,24.5544,9.70677,1.#QNAN
22.5992,24.6235,9.77709,1.#QNAN
22.2602,24.3088,9.76718,1.#QNAN
21.792,23.6533,9.19732,1.#QNAN
21.6847,23.6196,9.36266,1.#QNAN
22.6187,24.6898,9.89843,1.#QNAN
22.6824,24.7216,9.83183,1.#QNAN
22.6095,24.6007,9.69547,1.#QNAN
22.6883,24.7116,9.79298,1.#QNAN
22.6427,24.679,9.81633,1.#QNAN
22.2263,24.3239,9.88156,1.#QNAN
21.8703,23.7439,9.2444,1.#QNAN
21.8778,23.8908,9.59846,1.#QNAN
21.7653,23.7016,9.38267,1.#QNAN
21.8032,23.7903,9.5185,1.#QNAN
21.7795,23.8288,9.6676,1.#QNAN
21.8193,23.9646,9.91051,1.#QNAN
21.8429,23.8109,9.47883,1.#QNAN
21.9617,23.87,9.35211,1.#QNAN
21.8691,23.8252,9.45426,1.#QNAN
21.8535,23.7872,9.39443,1.#QNAN
21.796,24.1505,10.4009,1.#QNAN
21.8406,23.9624,9.85809,1.#QNAN
21.7411,23.7005,9.43608,1.#QNAN
21.7531,23.7944,9.6425,1.#QNAN
21.9347,24.0369,9.83061,1.#QNAN
21.7528,23.6725,9.3384,1.#QNAN
21.797,23.5857,9.00972,1.#QNAN
21.8111,23.877,9.7153,1.#QNAN
21.9149,23.8132,9.31706,1.#QNAN
21.9585,24.2507,10.2917,1.#QNAN
21.8027,23.7854,9.50714,1.#QNAN
21.9408,24.175,10.1506,1.#QNAN
21.8452,23.8234,9.50491,1.#QNAN
21.8266,23.9553,9.87193,1.#QNAN
21.7304,23.8108,9.73372,1.#QNAN
21.782,23.771,9.51873,1.#QNAN
21.889,23.7198,9.13801,1.#QNAN
21.8527,23.7819,9.38276,1.#QNAN
21.7736,23.7364,9.45133,1.#QNAN
21.7711,23.619,9.15836,1.#QNAN
21.73,23.7864,9.67471,1.#QNAN
21.8441,23.901,9.70025,1.#QNAN
21.7083,23.8477,9.8723,1.#QNAN
21.7836,23.7789,9.53474,1.#QNAN
21.7232,23.6526,9.35674,1.#QNAN
21.821,23.8222,9.55726,1.#QNAN
21.7385,23.7985,9.68529,1.#QNAN
21.8777,23.8909,9.599,1.#QNAN
21.8675,24.199,10.3636,1.#QNAN
21.687,23.7277,9.62701,1.#QNAN
21.7295,23.8428,9.81355,1.#QNAN
21.7274,23.8154,9.7516,1.#QNAN
21.6494,23.6578,9.5393,1.#QNAN
21.8626,23.9573,9.79687,1.#QNAN
21.7295,23.5967,9.19957,1.#QNAN
21.8108,23.9342,9.85585,1.#QNAN
21.9835,24.172,10.0503,1.#QNAN
174.173,302.009,246.724,0.576716
207.1,231.276,102.946,0.895469
215.998,238.738,101.69,0.904747
223.364,244.882,100.379,0.912127
223.738,245.249,100.442,0.912288
227.605,248.548,99.8587,0.915741
229.71,250.276,99.3561,0.917825
232.088,252.541,99.5603,0.91901
232.914,253.15,99.177,0.920062
232.297,252.771,99.6549,0.919003
230.499,250.959,99.2482,0.918476
229.553,250.327,99.8438,0.917015
227.375,248.484,100.224,0.915049
224.381,245.67,100.033,0.913345
223.716,245.402,100.861,0.911633
220.77,243.225,102.074,0.907678
220.162,242.618,101.943,0.907442
219.311,241.501,101.12,0.908118
218.631,240.744,100.786,0.90815
218.41,240.667,101.084,0.907517
217.973,240.456,101.522,0.9065
219.628,241.896,101.377,0.907942
219.481,241.938,101.793,0.90718
217.582,240.383,102.185,0.905149
216.323,239.264,102.234,0.904117
215.77,238.682,102.04,0.904008
214.737,237.361,101.136,0.904684
214.388,236.607,100.103,0.906093
214.662,236.865,100.125,0.906264
214.826,236.926,99.9185,0.906722
214.645,236.62,99.581,0.907131
214.635,236.358,98.9799,0.908092
214.54,236.063,98.4787,0.908828
214.891,236.421,98.5735,0.908934
215.303,236.988,99.0331,0.908501
215.824,237.375,98.8277,0.909211
216.083,237.797,99.2746,0.908687
216.343,237.925,99.0145,0.909292
217.224,239.112,99.9407,0.908463
219.063,241.108,100.72,0.908567
220.088,241.985,100.588,0.909512
220.738,242.517,100.444,0.910198
222.603,243.94,99.7709,0.912535
224.514,245.633,99.6446,0.914022
225.707,246.505,99.1006,0.91563
227.477,248.287,99.5013,0.916187
228.909,249.503,99.2573,0.917463
230.003,250.334,98.8222,0.918784
230.863,251.067,98.6755,0.919528
230.469,250.557,98.3016,0.919824
231.362,251.756,99.2607,0.918993
231.693,251.735,98.4314,0.920385
232.72,252.756,98.626,0.920729
232.916,252.661,97.9164,0.921852
233.653,253.654,98.7261,0.921147
233.62,253.353,98.0279,0.922112
234.369,254.102,98.1792,0.922341
234.915,254.36,97.5407,0.923552
235.871,255.284,97.6457,0.923956
236.283,255.577,97.4165,0.924508
236.686,255.83,97.1026,0.925168
237.781,257.065,97.6847,0.924986
238.07,257.137,97.1684,0.925852
238.384,257.378,97.0382,0.926203
239.431,258.459,97.3329,0.92638
239.538,258.591,97.4214,0.926319
239.936,258.823,97.0575,0.927027
240.705,259.708,97.5171,0.926828
241.109,260.048,97.424,0.927171
241.462,260.278,97.1632,0.927709
241.571,260.312,96.9841,0.928005
242.052,260.931,97.4457,0.927649
242.771,261.8,97.9859,0.927317
242.905,261.941,98.0339,0.927324
242.787,261.78,97.8946,0.927446
242.829,261.549,97.17,0.928426
243.172,261.88,97.2032,0.928563
243.466,262.129,97.1387,0.928802
244.084,263.017,97.9856,0.928014
244.043,263.086,98.2729,0.927615
244.261,263.256,98.1854,0.927845
244.087,262.971,97.8554,0.928187
243.985,262.779,97.5919,0.928479
244.405,263.306,97.96,0.928217
244.209,263.008,97.648,0.928523
244.045,262.612,96.9899,0.929299
244.038,262.807,97.5325,0.928585
243.492,262.368,97.7174,0.928055
242.396,261.322,97.6382,0.927577
241.978,260.927,97.6212,0.927376
242.452,261.422,97.7673,0.927435
242.708,261.641,97.7182,0.927638
242.695,261.824,98.2388,0.92694
241.849,261.104,98.4071,0.926258
241.851,261.34,99.0279,0.925428
240.506,259.809,98.2716,0.925705
239.557,258.842,98.0377,0.925497
240.224,259.487,98.11,0.925768
240.508,259.913,98.5419,0.925342
240.247,259.646,98.4758,0.925286
240.29,259.659,98.4065,0.925403
241.787,261.054,98.4301,0.926193
241.266,260.343,97.8222,0.926724
240.935,259.905,97.4716,0.927014
241.349,260.488,98.003,0.926527
241.03,260.281,98.2391,0.926036
241.323,260.628,98.438,0.92593
241.709,260.932,98.2957,0.926331
241.775,261.015,98.3557,0.926286
241.961,261.157,98.2743,0.926497
242.438,261.333,97.5625,0.9277
242.581,261.384,97.3461,0.928062
242.107,260.726,96.7592,0.928587
240.931,259.69,96.9065,0.927766
241.148,259.928,97.0077,0.927747
241.507,260.197,96.8334,0.928171
243.31,261.788,96.6071,0.929418
242.519,261.188,96.975,0.928519
240.824,259.595,96.9179,0.927693
239.508,258.391,96.9616,0.926923
238.254,257.15,96.7531,0.926517
236.832,255.769,96.5831,0.925961
235.398,254.57,96.9223,0.924687
235.271,254.536,97.1388,0.924315
235.599,254.655,96.6548,0.92517
236.21,255.542,97.5011,0.924349
236.207,255.666,97.834,0.923888
236.371,255.576,97.2025,0.924852
237.196,256.496,97.6132,0.924754
238.185,257.345,97.4379,0.925549
238.673,257.686,97.1443,0.926219
238.684,257.909,97.7091,0.925458
239.418,258.605,97.7527,0.925806
239.304,258.344,97.3426,0.926297
240.46,259.079,96.4418,0.928133
240.89,259.485,96.4592,0.92834
241.041,259.643,96.5089,0.928354
240.822,259.491,96.6446,0.928056
240.213,258.915,96.6165,0.927767
239.508,258.267,96.6327,0.927365
239.821,258.62,96.8018,0.927307
239.862,258.651,96.7799,0.927359
239.774,258.435,96.4207,0.927793
240.4,259.157,96.801,0.927621
240.487,259.225,96.7661,0.927715
240.675,259.35,96.6328,0.927994
241.349,260.076,96.9026,0.927994
241.394,260.076,96.793,0.928164
241.185,260.195,97.6277,0.92694
240.616,259.287,96.6111,0.927991
240.384,259.206,96.9713,0.927385
240.231,259.148,97.1957,0.927001
240.701,259.272,96.358,0.928374
240.622,259.344,96.7494,0.92781
241.404,260.131,96.9126,0.928011
241.028,259.789,96.9332,0.927782
241.506,260.186,96.8091,0.928202
241.437,260.345,97.4043,0.927374
241.595,260.667,97.8723,0.926835
241.603,260.722,98.0008,0.926667
241.588,260.689,97.9512,0.926726
241.277,260.423,98.0083,0.926481
241.828,261.02,98.2368,0.926474
240.964,260.033,97.7413,0.926668
241.026,260.235,98.1243,0.926188
242.407,261.444,97.938,0.927185
242.477,261.397,97.638,0.92762
241.846,260.863,97.7744,0.927101
241.541,260.499,97.5589,0.927224
242.169,261.37,98.3272,0.926539
241.57,260.781,98.2373,0.926334
241.386,260.491,97.9221,0.926655
241.778,261.037,98.408,0.926218
241.615,260.983,98.6628,0.925788
241.896,261.192,98.5285,0.926121
243.796,262.891,98.362,0.927366
242.864,262.054,98.4344,0.926771
242.379,261.528,98.2296,0.926782
241.772,260.782,97.7417,0.927105
241.706,260.734,97.7763,0.927023
241.141,260.045,97.3366,0.927305
242.256,261.006,97.1391,0.928164
243.766,262.465,97.2946,0.928755
242.393,260.975,96.7127,0.928799
241.437,259.854,96.0834,0.929128
241.465,259.843,95.9834,0.929274
241.552,259.995,96.177,0.929064
240.991,259.375,95.9097,0.929122
241.077,259.388,95.7269,0.92941
240.243,258.746,96.0885,0.928488
240.408,259.001,96.3607,0.928214
240.85,259.56,96.7601,0.927918
241.04,259.676,96.6009,0.928231
241.429,259.918,96.2796,0.928863
241.455,260.321,97.2964,0.927527
241.607,260.447,97.2547,0.927664
241.973,260.823,97.3511,0.927732
243.045,261.831,97.3881,0.928253
242.46,261.234,97.2427,0.928135
242.107,261.013,97.5279,0.927569
242.091,260.893,97.2469,0.927933
242.333,261.193,97.4505,0.927792
241.833,260.777,97.578,0.927355
242.438,261.439,97.8492,0.927319
242.558,261.4,97.446,0.927918
242.661,261.331,97.0019,0.928559
243.07,261.439,96.2664,0.92974
242.712,261.095,96.2368,0.929592
242.466,261.045,96.7199,0.928828
241.936,260.625,96.9145,0.928291
242.438,261.332,97.561,0.927702
242.369,261.387,97.8802,0.927241
241.858,260.842,97.6907,0.927219
241.661,260.544,97.3815,0.927525
241.23,259.952,96.8665,0.927979
241.884,260.487,96.6744,0.928581
242.425,260.97,96.6188,0.92894
243.227,261.564,96.2098,0.929895
242.333,260.864,96.5647,0.928963
241.751,260.546,97.1641,0.927862
241.728,260.54,97.2046,0.927795
241.787,260.5,96.9503,0.928165
241.506,260.407,97.4005,0.927416
240.83,259.667,97.0976,0.927456
241.363,260.054,96.81,0.928125
241.514,260.259,96.9826,0.927976
240.98,259.634,96.6367,0.928151
241.314,259.905,96.53,0.928471
242.178,260.682,96.4635,0.929015
242.365,260.834,96.4027,0.929193
242.624,261.179,96.6848,0.928958
242.491,260.827,96.0675,0.9297
242.109,260.574,96.3423,0.929139
242.22,260.811,96.7049,0.928719
242.029,260.559,96.5051,0.928882
242.45,260.895,96.3549,0.929301
242.404,260.97,96.6737,0.928856
242.382,261.086,97.0406,0.92836
243.44,262.138,97.2289,0.92867
243.434,262.145,97.2598,0.928627
243.137,261.874,97.2724,0.928454
243.192,261.825,97.005,0.928834
244.428,262.944,96.9243,0.929583
245.265,263.848,97.2656,0.929571
245.07,263.667,97.2672,0.929468
243.984,262.67,97.3012,0.92886
243.976,262.719,97.4534,0.928656
245.135,263.8,97.4653,0.929244
244.64,263.398,97.6229,0.928781
243.827,262.583,97.46,0.928569
245.028,263.632,97.2784,0.929432
244.725,263.21,96.8971,0.929772
244.125,262.73,97.1083,0.929186
244.263,262.829,97.03,0.92936
243.611,262.093,96.6777,0.929482
244.146,262.807,97.2623,0.928996
243.675,262.537,97.7164,0.928153
244.111,262.756,97.2128,0.929042
243.74,262.357,97.0688,0.929037
243.152,262.012,97.6075,0.92802
242.716,261.616,97.6309,0.927757
240.826,259.999,97.9932,0.926255
242.041,260.78,97.0681,0.928144
241.096,259.948,97.1899,0.927476
240.633,259.46,97.032,0.927438
240.229,259.188,97.3058,0.926853
240.41,259.645,98.0727,0.92592
239.865,259.009,97.7259,0.926088
240.171,259.293,97.7292,0.926251
239.542,258.753,97.839,0.925757
238.732,258.074,98.0254,0.925054
238.357,257.759,98.1098,0.924729
238.349,257.797,98.228,0.924563
237.571,257.214,98.5852,0.923632
236.837,256.568,98.6682,0.923096
235.403,255.166,98.4652,0.922546
233.782,253.925,99.1162,0.920672
231.971,252.116,98.7517,0.920097
232.309,252.588,99.162,0.919716
