P,S,Q,PF
1.94584,5.37771,5.01333,1.#QNAN
1.92697,5.6235,5.28304,1.#QNAN
2.07397,4.3414,3.81398,1.#QNAN
2.03882,5.61127,5.22776,1.#QNAN
2.04358,4.82157,4.36707,1.#QNAN
1.78097,4.5696,4.20825,1.#QNAN
8.36409,32.081,30.9715,1.#QNAN
244.592,258.43,83.4336,0.946451
253.842,262.295,66.0495,0.967776
238.851,244.74,53.3649,0.975938
226.683,231.232,45.6438,0.980324
221.983,226.081,42.85,0.981874
220.763,224.706,41.9105,0.982453
219.677,223.535,41.3527,0.98274
219.619,223.467,41.2963,0.982777
219.232,223.08,41.2583,0.982748
218.859,222.639,40.8534,0.98302
218.659,222.422,40.7398,0.983082
218.617,222.382,40.7523,0.983066
218.57,222.324,40.6829,0.983115
218.647,222.368,40.5129,0.983264
218.448,222.159,40.4401,0.983293
218.358,222.089,40.5374,0.983201
218.185,221.895,40.4079,0.983279
218.144,221.825,40.2453,0.983404
217.907,221.548,39.9996,0.983567
217.712,221.357,40.0075,0.983531
217.474,221.119,39.9825,0.983516
217.089,220.669,39.5885,0.983776
217.136,220.695,39.4766,0.983872
216.991,220.596,39.7143,0.983661
216.457,220.044,39.5707,0.983698
216.819,220.43,39.7367,0.983617
216.411,219.982,39.4785,0.983765
216.557,220.119,39.4375,0.983819
216.346,219.877,39.2486,0.983939
216.333,219.839,39.1069,0.984051
216.167,219.686,39.1686,0.983977
216.142,219.67,39.214,0.983938
276.016,347.44,211.021,0.794426
1472.59,1481.88,165.693,0.993729
1465.8,1465.99,23.5797,0.999871
1460.33,1460.51,22.9238,0.999877
1456.51,1456.76,27.0601,0.999827
1454.6,1454.78,23.3934,0.999871
1453.2,1453.41,24.8998,0.999853
1451.63,1451.83,24.0988,0.999862
1452.03,1452.24,24.5866,0.999857
1449.54,1449.71,21.7658,0.999887
1450.27,1450.46,23.5319,0.999868
1451.58,1451.77,23.9479,0.999864
1448.3,1448.52,25.0849,0.99985
1447.6,1447.78,23.2675,0.999871
1445.24,1445.33,16.1168,0.999938
1446.29,1446.49,23.7934,0.999865
1446.71,1446.91,23.987,0.999863
1446.83,1447.05,24.779,0.999853
1448.89,1449.05,21.1719,0.999893
1449.27,1449.41,20.5487,0.9999
1453.55,1453.71,21.6275,0.999889
1454.77,1455,25.671,0.999844
1453.8,1454,24.0884,0.999863
1452.26,1452.42,21.9431,0.999886
1449.81,1449.95,20.3286,0.999902
1449.87,1449.99,18.8613,0.999915
1452.68,1452.86,22.644,0.999879
1454.94,1455.09,21.1069,0.999895
1454.31,1454.5,23.696,0.999867
1453.19,1453.44,27.0093,0.999827
1453.27,1453.43,21.3834,0.999892
1452.69,1452.94,27.1477,0.999825
1454.93,1455.11,23.4041,0.999871
1455.05,1455.24,23.9844,0.999864
1454.83,1455,22.2486,0.999883
1455.49,1455.55,13.3323,0.999958
1454.45,1454.54,16.1632,0.999938
1455.44,1455.59,20.6216,0.9999
1455.33,1455.43,17.1756,0.99993
1453.28,1453.44,21.4243,0.999891
1452.87,1452.97,17.022,0.999931
1452.94,1453.11,22.198,0.999883
1452.63,1452.8,21.9089,0.999886
1452.19,1452.31,18.4865,0.999919
1450.01,1450.15,20.4695,0.9999
1449.51,1449.69,22.8747,0.999875
1448.78,1448.9,19.0329,0.999914
1447.37,1447.43,12.8062,0.999961
1447.06,1447.17,17.892,0.999924
1447.7,1447.78,15.8981,0.99994
1448.68,1448.83,20.7364,0.999898
1448.54,1448.7,21.4476,0.99989
1447.02,1447.19,21.8317,0.999886
1448.54,1448.66,18.0208,0.999923
1448.12,1448.25,19.4133,0.99991
1447.83,1447.96,19.3391,0.999911
1448.11,1448.23,18.6748,0.999917
1448.64,1448.84,23.5744,0.999868
1450.56,1450.75,23.3827,0.99987
1450.33,1450.5,22.3663,0.999881
1451.57,1451.72,20.8686,0.999897
1312.04,1315.14,90.2967,0.99764
1246.29,1245.97,0,-1
1245.97,1245.63,0,-1
1246.42,1246.11,0,-1
1247.18,1246.94,0,-1
1248.11,1247.82,0,-1
1247.06,1246.76,0,-1
1247.58,1247.32,0,-1
1248.81,1248.52,0,-1
1248.24,1247.93,0,-1
1248.95,1248.66,0,-1
1248.35,1248.08,0,-1
1248.27,1248.02,0,-1
1248.3,1248.05,0,-1
1247.22,1246.98,0,-1
1246.23,1245.96,0,-1
1245.97,1245.62,0,-1
1244.58,1244.28,0,-1
1243.69,1243.4,0,-1
1245.1,1244.79,0,-1
1243.93,1243.62,0,-1
1243.6,1243.29,0,-1
1242.96,1242.63,0,-1
1245.23,1244.92,0,-1
1245.64,1245.35,0,-1
1244.42,1244.13,0,-1
1243.76,1243.48,0,-1
1242.84,1242.55,0,-1
1244.11,1243.85,0,-1
1246.19,1245.88,0,-1
1246.47,1246.23,0,-1
1246.83,1246.57,0,-1
1246.03,1245.81,0,-1
1244.48,1244.27,0,-1
1242.65,1242.39,0,-1
1244.22,1243.95,0,-1
1245.44,1245.15,0,-1
1244.41,1244.11,0,-1
1244.66,1244.29,0,-1
1244.53,1244.2,0,-1
1245.02,1244.66,0,-1
1245.05,1244.73,0,-1
1244.08,1243.76,0,-1
1244.32,1244.04,0,-1
1244.09,1243.83,0,-1
1243.93,1243.7,0,-1
1243.73,1243.43,0,-1
1242.37,1242.12,0,-1
1243.02,1242.78,0,-1
1281.16,1284.22,88.6602,0.997614
1489.38,1490.39,54.9272,0.999321
1475.24,1475.92,44.9555,0.999536
1459.68,1459.99,30.0957,0.999788
1449.32,1449.52,23.9583,0.999863
1444.33,1444.59,27.0555,0.999825
1444.49,1444.65,21.5754,0.999888
1444.08,1444.26,23.1111,0.999872
1444.19,1444.24,12.7622,0.999961
1444.8,1444.9,16.8634,0.999932
1445.85,1445.98,19.4551,0.99991
1444.73,1444.9,22.5527,0.999878
1445.97,1446.1,19.884,0.999905
1447.25,1447.32,14.0134,0.999953
1449.5,1449.64,19.9937,0.999905
1449.92,1449.98,12.5897,0.999962
1451.07,1451.2,19.4165,0.99991
1451.97,1452.15,22.5832,0.999879
1451.06,1451.11,11.8954,0.999966
1451.6,1451.76,21.6679,0.999889
1451.18,1451.24,13.1053,0.999959
1449.65,1449.78,18.7949,0.999916
1448.43,1448.57,20.3838,0.999901
1448.35,1448.5,21.3073,0.999892
1448.32,1448.42,17.1464,0.99993
1449.86,1450.03,22.1698,0.999883
1448.91,1448.95,10.1119,0.999976
1448.58,1448.63,12.1552,0.999965
1448.74,1448.87,19.1507,0.999913
1449.26,1449.32,13.2476,0.999958
1450.08,1450.19,17.8185,0.999924
1451.08,1451.2,18.2003,0.999921
1451.17,1451.33,21.5116,0.99989
1448.09,1448.23,20.2546,0.999902
1447.56,1447.68,18.3132,0.99992
1449.86,1449.94,15.6365,0.999942
1449.58,1449.66,15.174,0.999945
1450.12,1450.18,13.435,0.999957
1449.03,1449.05,5.95819,0.999992
1448.09,1448.19,16.3363,0.999936
1448.29,1448.38,16.0312,0.999939
1448.28,1448.46,23.211,0.999872
1448,1448.12,18.1487,0.999921
1449.16,1449.26,17.1172,0.99993
1448.66,1448.81,20.9225,0.999896
1447.67,1447.81,20.3961,0.999901
