P,S,Q,PF
1.66087,5.32325,5.05752,1.#QNAN
1.76809,5.83994,5.56585,1.#QNAN
1.94659,4.62123,4.19125,1.#QNAN
1.89132,5.57389,5.2432,1.#QNAN
1.7558,6.05241,5.79213,1.#QNAN
1.22733,5.70198,5.56833,1.#QNAN
1.85819,4.74027,4.36088,1.#QNAN
1.60297,4.44732,4.14839,1.#QNAN
1.60048,5.43014,5.18892,1.#QNAN
1.7626,4.78063,4.44383,1.#QNAN
1.50941,4.41414,4.14805,1.#QNAN
1.69766,4.54621,4.21735,1.#QNAN
1.37416,4.8079,4.60734,1.#QNAN
1.45336,4.15698,3.89464,1.#QNAN
1.77261,5.24436,4.9357,1.#QNAN
1.52817,5.73095,5.52345,1.#QNAN
1.70949,4.48433,4.14571,1.#QNAN
1.30186,4.45634,4.26194,1.#QNAN
1.69013,4.69073,4.37567,1.#QNAN
1.27368,5.11717,4.95613,1.#QNAN
1.62514,4.76101,4.47506,1.#QNAN
1.63619,4.19249,3.86004,1.#QNAN
1.72059,3.97264,3.5807,1.#QNAN
1.63991,4.7344,4.44131,1.#QNAN
1.51744,5.1662,4.93832,1.#QNAN
1.65075,5.74366,5.50133,1.#QNAN
1.80886,4.44292,4.05802,1.#QNAN
1.59543,5.01441,4.75383,1.#QNAN
1.6802,4.75168,4.44471,1.#QNAN
1.60676,5.50862,5.26909,1.#QNAN
1.56164,4.8942,4.63837,1.#QNAN
1.78741,4.71286,4.36076,1.#QNAN
1.63535,4.08164,3.73971,1.#QNAN
1.67426,5.88849,5.64546,1.#QNAN
1.91766,4.71007,4.30201,1.#QNAN
1.66168,5.91566,5.67749,1.#QNAN
1.70708,5.52663,5.25638,1.#QNAN
1.36014,4.36692,4.1497,1.#QNAN
1.58542,5.03725,4.78125,1.#QNAN
1.65975,4.38515,4.05892,1.#QNAN
1.80203,4.77529,4.42222,1.#QNAN
1.6449,4.78835,4.49695,1.#QNAN
1.62132,5.78652,5.55474,1.#QNAN
1.76013,4.80286,4.46872,1.#QNAN
1.60482,3.91508,3.57105,1.#QNAN
1.5009,4.12898,3.84653,1.#QNAN
1.89833,5.08836,4.72099,1.#QNAN
1.54376,4.49342,4.21991,1.#QNAN
1.55847,4.50297,4.22467,1.#QNAN
1.92643,4.99857,4.61244,1.#QNAN
1.81334,4.76234,4.4036,1.#QNAN
1.63525,5.30457,5.04622,1.#QNAN
1.56211,5.15993,4.91779,1.#QNAN
1.64135,4.55489,4.24889,1.#QNAN
1.72895,5.18205,4.88512,1.#QNAN
1.60259,4.64107,4.3556,1.#QNAN
1.62599,4.50662,4.20307,1.#QNAN
1.77357,4.96232,4.63455,1.#QNAN
1.64286,5.2857,5.02391,1.#QNAN
1.775,5.13686,4.82045,1.#QNAN
1.7958,5.00684,4.6737,1.#QNAN
1.8477,5.47112,5.14968,1.#QNAN
1.53703,4.64353,4.38177,1.#QNAN
1.66046,4.65293,4.34657,1.#QNAN
1.72331,4.29038,3.92907,1.#QNAN
1.60975,5.15635,4.89864,1.#QNAN
1.62912,5.06218,4.79287,1.#QNAN
2.05845,4.61139,4.12646,1.#QNAN
1.94386,5.23456,4.86025,1.#QNAN
1.73838,5.08411,4.77768,1.#QNAN
1.76404,4.48178,4.12001,1.#QNAN
1.34032,5.60933,5.44684,1.#QNAN
1.88809,4.36935,3.94034,1.#QNAN
1.60479,4.62684,4.33962,1.#QNAN
1.58028,4.54495,4.26137,1.#QNAN
1.74361,5.67297,5.39837,1.#QNAN
64.8135,322.377,315.795,0.201049
1589.81,1590.02,25.7391,0.999869
1592.99,1593.05,14.1951,0.99996
1592.26,1592.35,17.0147,0.999943
1592.97,1593.12,21.8518,0.999906
1592.56,1592.71,21.2779,0.999911
477.731,879.367,738.281,0.543267
1.51294,4.28704,4.0112,1.#QNAN
1.66076,4.50482,4.18752,1.#QNAN
1.42246,4.9402,4.73098,1.#QNAN
1.80322,5.34361,5.03016,1.#QNAN
1.79205,5.00013,4.66796,1.#QNAN
1.8658,4.61977,4.22624,1.#QNAN
1.53357,4.8948,4.64836,1.#QNAN
1.54394,4.46624,4.19089,1.#QNAN
1.72847,4.71101,4.38247,1.#QNAN
1.76871,4.54125,4.18266,1.#QNAN
1.6823,5.32238,5.04952,1.#QNAN
1.97479,4.83079,4.40872,1.#QNAN
1.8215,5.01143,4.66868,1.#QNAN
1.68719,6.229,5.99615,1.#QNAN
1.84379,5.13011,4.78732,1.#QNAN
1.92839,4.96235,4.57233,1.#QNAN
1.72072,4.90581,4.59414,1.#QNAN
1.57479,5.47769,5.24644,1.#QNAN
1.65145,5.00474,4.72442,1.#QNAN
1.34799,5.55116,5.38501,1.#QNAN
1.78726,4.83664,4.49431,1.#QNAN
1.37563,5.33049,5.14993,1.#QNAN
1.8849,5.47372,5.13894,1.#QNAN
1.56844,5.33054,5.09457,1.#QNAN
1.6543,4.913,4.6261,1.#QNAN
1.55981,5.02864,4.78061,1.#QNAN
1.6914,4.80945,4.50222,1.#QNAN
1.77847,4.80588,4.46469,1.#QNAN
1.66027,4.82574,4.53114,1.#QNAN
1.72762,5.18892,4.89288,1.#QNAN
1.82209,5.32644,5.00509,1.#QNAN
1.65747,4.62207,4.31466,1.#QNAN
1.77127,5.0519,4.7312,1.#QNAN
1.66003,4.73799,4.43766,1.#QNAN
1.84868,4.55523,4.16324,1.#QNAN
1.71932,4.40757,4.0584,1.#QNAN
1.77242,5.08906,4.77043,1.#QNAN
1.58086,4.85828,4.59388,1.#QNAN
1.48438,4.78481,4.54874,1.#QNAN
1.70716,4.75448,4.43742,1.#QNAN
1.64596,4.54979,4.24163,1.#QNAN
1.95389,4.57872,4.14089,1.#QNAN
1.68883,4.63024,4.31126,1.#QNAN
1.41356,4.77188,4.55771,1.#QNAN
1.44236,4.68182,4.4541,1.#QNAN
1.77884,4.68002,4.32877,1.#QNAN
1.24089,4.59978,4.42924,1.#QNAN
1.4313,4.98849,4.77875,1.#QNAN
1.35373,4.33614,4.1194,1.#QNAN
1.67102,4.8867,4.59212,1.#QNAN
1.83267,4.90075,4.54517,1.#QNAN
1.74044,5.31546,5.02245,1.#QNAN
1.58605,5.26486,5.02028,1.#QNAN
1.62126,4.95424,4.68145,1.#QNAN
414.157,818.005,705.411,-0.506302
1588.42,1588.51,16.4165,0.999947
1588.73,1588.84,18.8481,0.99993
1589.08,1589.18,17.713,0.999938
1588.62,1588.67,12.2372,0.99997
1586.84,1586.93,16.8893,0.999943
729.433,1082.95,800.439,0.673563
1.85669,4.84567,4.47585,1.#QNAN
1.45239,4.91826,4.69891,1.#QNAN
1.56195,4.70853,4.44191,1.#QNAN
1.6908,5.36193,5.08837,1.#QNAN
1.65024,4.9839,4.70276,1.#QNAN
1.55059,4.26154,3.96944,1.#QNAN
1.91552,4.76081,4.35845,1.#QNAN
1.71149,4.55466,4.22087,1.#QNAN
1.70251,4.98125,4.68127,1.#QNAN
1.76821,5.09295,4.77615,1.#QNAN
1.86937,4.74157,4.35752,1.#QNAN
1.3532,4.05887,3.82665,1.#QNAN
1.53088,4.59427,4.33172,1.#QNAN
1.78826,5.02563,4.69671,1.#QNAN
1.65532,4.45119,4.13195,1.#QNAN
1.61713,5.40037,5.15256,1.#QNAN
1.24146,4.21165,4.02453,1.#QNAN
1.33389,4.91128,4.72667,1.#QNAN
1.70805,4.58265,4.25244,1.#QNAN
1.63571,4.51136,4.20438,1.#QNAN
1.60861,4.69067,4.40622,1.#QNAN
1.73373,5.77486,5.50847,1.#QNAN
2.00267,4.01636,3.48144,1.#QNAN
1.75887,5.44583,5.15398,1.#QNAN
1.72014,5.22536,4.93411,1.#QNAN
1.51358,4.88379,4.64332,1.#QNAN
1.53622,4.43638,4.16191,1.#QNAN
1.66602,4.76933,4.46888,1.#QNAN
1.85914,4.72857,4.34776,1.#QNAN
1.62172,4.63611,4.34322,1.#QNAN
1.68155,4.85393,4.55336,1.#QNAN
1.62545,4.69536,4.40503,1.#QNAN
1.61898,5.06917,4.80369,1.#QNAN
1.78769,4.23372,3.83777,1.#QNAN
1.66749,4.81825,4.52051,1.#QNAN
230.616,609.37,564.047,0.37845
1589.71,1589.78,14.7394,0.999957
1590.02,1590.08,13.5185,0.999964
1589.31,1589.38,14.2653,0.99996
1589.1,1589.13,9.66954,0.999981
1587.46,1587.57,18.6615,0.999931
1348.71,1466.2,575.088,0.919867
1.95073,17.1411,17.0297,1.#QNAN
1.54211,4.86001,4.60887,1.#QNAN
1.71813,4.57459,4.23968,1.#QNAN
1.85278,4.19208,3.76042,1.#QNAN
1.79528,4.89596,4.55493,1.#QNAN
2.0815,4.85697,4.38834,1.#QNAN
1.67943,4.56164,4.24123,1.#QNAN
1.74699,5.501,5.21622,1.#QNAN
1.55063,5.92266,5.71607,1.#QNAN
1.61722,4.78789,4.50649,1.#QNAN
1.86437,4.99679,4.63595,1.#QNAN
1.80728,5.36085,5.04702,1.#QNAN
1.74481,4.96977,4.65342,1.#QNAN
1.73058,4.57651,4.23668,1.#QNAN
1.58018,4.5906,4.31006,1.#QNAN
1.90467,4.64307,4.23443,1.#QNAN
1.93408,5.3204,4.95641,1.#QNAN
1.69792,4.86653,4.56072,1.#QNAN
1.69093,5.49125,5.22442,1.#QNAN
1.44227,4.73987,4.51511,1.#QNAN
1.7152,4.55092,4.21533,1.#QNAN
1.73599,4.60775,4.26822,1.#QNAN
1.73131,4.6685,4.3356,1.#QNAN
1.60119,4.88215,4.61211,1.#QNAN
1.61876,4.37694,4.0666,1.#QNAN
1.94833,4.40048,3.94566,1.#QNAN
1.58731,4.74058,4.46694,1.#QNAN
1.77385,4.97225,4.64507,1.#QNAN
1.41835,4.98225,4.77609,1.#QNAN
1.58345,4.88981,4.62633,1.#QNAN
1.9744,5.04275,4.64016,1.#QNAN
1.91474,4.41493,3.97811,1.#QNAN
1.52359,5.09278,4.85953,1.#QNAN
1.92026,5.02149,4.63982,1.#QNAN
1.28689,4.75354,4.57603,1.#QNAN
1.53282,5.0906,4.85435,1.#QNAN
1.69686,4.61878,4.29579,1.#QNAN
1284.93,1431,629.86,-0.897923
1586.99,1587.01,7.54983,0.999989
1585.92,1585.96,10.8743,0.999977
1585.83,1585.87,11.3137,0.999975
1585.8,1585.84,12,0.999971
1393.75,1488.27,521.925,0.936491
1.33842,17.5328,17.4816,1.#QNAN
1.92433,4.44533,4.00723,1.#QNAN
1.62623,4.9558,4.68138,1.#QNAN
1.83569,5.4383,5.11912,1.#QNAN
1.70949,5.39379,5.11572,1.#QNAN
1.9018,5.0283,4.65478,1.#QNAN
1.52392,5.08044,4.8465,1.#QNAN
1.66877,4.78747,4.48721,1.#QNAN
1.81574,4.85593,4.50367,1.#QNAN
1.6591,4.43658,4.11468,1.#QNAN
1.68557,5.06797,4.77946,1.#QNAN
1.58318,4.8377,4.57131,1.#QNAN
1.76183,4.99867,4.67789,1.#QNAN
1.33509,4.23333,4.01728,1.#QNAN
1.44376,3.99482,3.7248,1.#QNAN
1.34757,5.27725,5.1023,1.#QNAN
1.84164,6.68606,6.42742,1.#QNAN
1.88091,5.55814,5.23021,1.#QNAN
1.79162,4.55104,4.18354,1.#QNAN
1.77302,4.39651,4.02315,1.#QNAN
1.70361,4.74566,4.42933,1.#QNAN
