P,S,Q,PF
1.14934,4.4783,4.3283,1.#QNAN
1.55946,6.13353,5.93197,1.#QNAN
1.29207,4.47209,4.28137,1.#QNAN
1.6044,4.61635,4.32857,1.#QNAN
1.41159,5.48977,5.30518,1.#QNAN
1.74361,4.72036,4.38653,1.#QNAN
1.61235,5.92467,5.70105,1.#QNAN
1.40244,4.73354,4.52101,1.#QNAN
1.5869,5.41607,5.17838,1.#QNAN
1.5603,4.17471,3.87216,1.#QNAN
1.19709,4.27342,4.10233,1.#QNAN
1.53888,4.94366,4.69804,1.#QNAN
1.28087,4.38046,4.18901,1.#QNAN
1.55649,5.49805,5.27313,1.#QNAN
1.39556,4.80333,4.59612,1.#QNAN
1.30487,4.88344,4.70588,1.#QNAN
1.37877,5.46474,5.28794,1.#QNAN
1.00542,4.63407,4.52368,1.#QNAN
1.51225,5.64917,5.443,1.#QNAN
1.51873,4.63272,4.37671,1.#QNAN
1.48064,5.31459,5.10417,1.#QNAN
1.41875,4.64274,4.42065,1.#QNAN
1.18954,4.81973,4.67063,1.#QNAN
1.43409,4.89179,4.67685,1.#QNAN
1.44426,4.46557,4.22557,1.#QNAN
1.71471,4.52438,4.18685,1.#QNAN
1.55944,4.54391,4.26794,1.#QNAN
1.44788,5.01448,4.8009,1.#QNAN
1.37504,6.08044,5.92292,1.#QNAN
1.34549,5.01322,4.82929,1.#QNAN
1.37983,5.49472,5.31865,1.#QNAN
1.44659,5.3454,5.14594,1.#QNAN
1.50638,4.601,4.34741,1.#QNAN
1.55279,5.14122,4.90112,1.#QNAN
1.33098,4.68078,4.48756,1.#QNAN
1.4467,5.23779,5.03403,1.#QNAN
1.46256,4.92578,4.70364,1.#QNAN
1.5889,5.10213,4.84842,1.#QNAN
1.55356,5.71486,5.49964,1.#QNAN
1.50993,4.47844,4.21622,1.#QNAN
1.42814,5.09722,4.89306,1.#QNAN
1.49861,4.24522,3.97191,1.#QNAN
1.82217,4.89053,4.5384,1.#QNAN
1.35081,4.89205,4.70186,1.#QNAN
1.40464,4.22603,3.98577,1.#QNAN
1.21825,5.32383,5.18257,1.#QNAN
1.3716,4.47905,4.26388,1.#QNAN
1.08095,4.16212,4.0193,1.#QNAN
1.28907,4.69984,4.5196,1.#QNAN
1.55336,5.67416,5.4574,1.#QNAN
1.63659,5.03668,4.76337,1.#QNAN
1.22059,5.12928,4.98194,1.#QNAN
1.43088,4.82984,4.61302,1.#QNAN
1.44091,4.43443,4.1938,1.#QNAN
1.43869,4.83016,4.61092,1.#QNAN
1.41172,5.41921,5.2321,1.#QNAN
1.48786,6.15972,5.97733,1.#QNAN
155,211.528,143.942,0.732762
260.34,268.349,65.0727,0.970153
241.547,247.093,52.0606,0.977552
224.686,228.463,41.3726,0.983466
217.731,220.965,37.6652,0.985365
215.404,218.502,36.6637,0.985822
214.941,218.016,36.4862,0.985897
214.616,217.656,36.251,0.986033
214.352,217.379,36.1526,0.986073
214.346,217.339,35.9439,0.98623
214.043,217.009,35.7597,0.98633
213.752,216.76,35.9878,0.986121
213.53,216.523,35.8715,0.986181
213.342,216.295,35.6138,0.986351
213.588,216.512,35.4611,0.986496
213.434,216.391,35.65,0.986336
213.284,216.239,35.6232,0.986337
213.043,215.962,35.3878,0.986483
212.758,215.688,35.4325,0.986414
212.74,215.674,35.4551,0.986395
212.748,215.658,35.3065,0.986508
212.67,215.563,35.1975,0.986579
212.489,215.351,34.9916,0.986711
212.542,215.425,35.1287,0.986615
212.33,215.202,35.0429,0.986653
212.048,214.912,34.9682,0.986674
211.902,214.734,34.7583,0.986813
212.215,215.076,34.9642,0.986698
211.946,214.75,34.5872,0.986945
211.876,214.697,34.6935,0.986858
211.782,214.584,34.5652,0.986941
211.852,214.674,34.6916,0.986856
211.674,214.483,34.5976,0.986904
211.485,214.278,34.4879,0.986963
211.225,214.04,34.5967,0.98685
211.086,213.87,34.3933,0.986985
211.11,213.863,34.2017,0.987129
211.132,213.89,34.2349,0.987108
211.406,214.176,34.3338,0.987067
211.103,213.884,34.3796,0.986997
211.11,213.879,34.3021,0.987055
211.187,213.92,34.0901,0.987221
210.738,213.469,34.0375,0.987206
210.541,213.283,34.0894,0.987144
210.667,213.398,34.0345,0.9872
210.385,213.121,34.038,0.987164
210.582,213.367,34.3622,0.986947
210.229,212.957,33.9778,0.987189
210.308,213.015,33.8482,0.987295
210.187,212.886,33.787,0.987325
210.05,212.738,33.7114,0.987365
209.946,212.628,33.6698,0.987383
209.941,212.646,33.8093,0.98728
210.145,212.792,33.4619,0.987559
210.223,212.913,33.7369,0.987366
210.195,212.849,33.5071,0.987531
210.25,212.923,33.6363,0.987443
209.917,212.57,33.4829,0.987517
209.997,212.624,33.326,0.98764
209.946,212.563,33.2496,0.98769
209.594,212.207,33.2016,0.987685
209.321,211.926,33.1253,0.987709
209.437,212.074,33.3355,0.987569
209.222,211.861,33.3348,0.987544
209.22,211.819,33.0767,0.987732
209.679,212.285,33.1622,0.987723
209.494,212.07,32.9527,0.987854
209.024,211.582,32.8012,0.98791
209.001,211.558,32.7913,0.987915
208.977,211.515,32.665,0.988003
208.824,211.417,33.0106,0.987735
208.954,211.517,32.829,0.987882
209.222,211.77,32.757,0.987964
208.764,211.302,32.647,0.987992
208.965,211.509,32.7044,0.987973
208.98,211.489,32.4814,0.988136
208.816,211.342,32.5761,0.988049
208.378,210.917,32.6292,0.987961
208.332,210.86,32.5498,0.988014
207.95,210.464,32.4313,0.988056
208.233,210.749,32.4708,0.988059
207.984,210.486,32.3608,0.988111
207.998,210.491,32.2994,0.988157
208.016,210.609,32.9444,0.98769
207.982,210.502,32.47,0.988032
207.944,210.434,32.2732,0.988169
207.592,210.063,32.1223,0.988239
207.483,209.965,32.1897,0.988178
207.378,209.871,32.2525,0.988121
207.195,209.667,32.1002,0.98821
207.41,209.888,32.1585,0.988193
207.415,209.87,32.0047,0.988304
207.081,209.539,32.0025,0.988268
206.655,209.11,31.9492,0.988259
206.486,208.975,32.162,0.988086
206.448,208.901,31.9225,0.988255
206.417,208.857,31.829,0.988319
206.582,209.022,31.8445,0.988327
206.54,208.98,31.8394,0.988326
206.594,209.016,31.7293,0.988411
206.668,209.119,31.9196,0.988282
206.626,209.034,31.6389,0.988479
206.486,208.888,31.5927,0.988497
206.489,208.867,31.4292,0.988614
206.355,208.774,31.6878,0.988414
206.328,208.749,31.6998,0.988403
205.972,208.37,31.5232,0.98849
205.741,208.154,31.6008,0.988409
205.843,208.251,31.5785,0.988436
205.849,208.259,31.5873,0.988431
206.057,208.438,31.415,0.988577
206.049,208.452,31.5607,0.988472
205.971,208.362,31.4736,0.988526
205.677,208.03,31.1981,0.988691
205.749,208.101,31.1943,0.988701
205.831,208.182,31.2026,0.988704
206.029,208.416,31.4494,0.988549
205.981,208.326,31.1669,0.988746
205.926,208.265,31.1264,0.988768
206.067,208.447,31.4051,0.988585
206.031,208.372,31.1444,0.988767
205.819,208.134,30.9566,0.988877
205.931,208.241,30.93,0.988908
205.572,207.889,30.9523,0.988854
205.164,207.464,30.8038,0.988916
205.1,207.411,30.8756,0.988858
204.747,207.066,30.9035,0.9888
204.709,207.004,30.7419,0.988911
204.749,207.084,31.0122,0.988723
204.745,207.024,30.6346,0.988991
204.752,207.047,30.7455,0.988913
204.904,207.207,30.8039,0.988888
204.75,207.023,30.5972,0.989018
204.898,207.208,30.8539,0.988852
204.621,206.878,30.4719,0.989093
204.423,206.763,31.0242,0.988679
204.675,206.954,30.6334,0.988984
204.41,206.67,30.4823,0.989063
204.485,206.766,30.6311,0.988966
204.291,206.532,30.3416,0.98915
204.385,206.62,30.3019,0.989188
204.291,206.546,30.4418,0.989079
