P,S,Q,PF
0.910614,9.07081,9.02499,1.#QNAN
0.907888,10.0533,10.0122,1.#QNAN
0.94468,9.44163,9.39425,1.#QNAN
0.802079,9.32078,9.2862,1.#QNAN
1.62484,14.251,14.1581,1.#QNAN
1.80018,9.194,9.01604,1.#QNAN
1.93888,9.78958,9.59566,1.#QNAN
1.97956,9.81424,9.61253,1.#QNAN
1.97384,9.27631,9.06388,1.#QNAN
1.94455,9.37395,9.17004,1.#QNAN
2.01415,9.60582,9.39228,1.#QNAN
2.0202,9.5416,9.32528,1.#QNAN
1.85923,9.0497,8.85666,1.#QNAN
1.96529,9.44207,9.23527,1.#QNAN
1.88473,9.27153,9.07795,1.#QNAN
2.01056,9.42605,9.20913,1.#QNAN
1.96006,9.0507,8.83591,1.#QNAN
50.6381,79.6133,61.4334,1.#QNAN
44.2307,69.8002,53.9972,1.#QNAN
9.36621,13.6127,9.87824,1.#QNAN
7.90295,12.2797,9.39861,1.#QNAN
58.2126,367.262,362.619,0.158504
44.81,241.26,237.062,0.185733
36.1877,207.806,204.63,0.174142
21.7206,149.67,148.086,1.#QNAN
6.57885,11.8071,9.80435,1.#QNAN
5.88941,11.5882,9.98,1.#QNAN
14.1317,112.622,111.731,1.#QNAN
98.7488,503.351,493.57,0.196183
36.2758,206.797,203.59,0.175418
32.8024,197.003,194.253,0.166507
5.78401,12.792,11.4097,1.#QNAN
5.69274,11.4703,9.95794,1.#QNAN
5.31258,11.1058,9.75274,1.#QNAN
51.7193,339.294,335.329,0.152432
69.8944,376.451,369.906,0.185666
37.7011,214.41,211.069,0.175837
21.1142,151.632,150.154,1.#QNAN
5.60688,11.3104,9.82289,1.#QNAN
5.49802,11.2776,9.84664,1.#QNAN
20.8301,37.4073,31.0711,1.#QNAN
17.0496,32.0374,27.124,1.#QNAN
16.334,31.7625,27.2407,1.#QNAN
16.6142,32.1293,27.5002,1.#QNAN
15.9777,31.8882,27.5966,1.#QNAN
10.9278,24.6853,22.1348,1.#QNAN
9.28482,12.5921,8.50606,1.#QNAN
11.8504,13.621,6.7156,1.#QNAN
11.8052,13.3032,6.13284,1.#QNAN
11.6832,13.3803,6.52189,1.#QNAN
11.6409,13.5818,6.99674,1.#QNAN
11.6373,13.3028,6.44512,1.#QNAN
11.6781,13.1211,5.98201,1.#QNAN
11.6013,12.909,5.66149,1.#QNAN
11.5499,13.0427,6.05916,1.#QNAN
11.5851,13.0629,6.03528,1.#QNAN
8.02166,12.2473,9.25475,1.#QNAN
21.405,154.008,152.514,1.#QNAN
96.2407,426.02,415.007,0.225907
47.1036,224.971,219.984,0.209376
45.5136,219.365,214.591,0.207479
53.7058,246.368,240.443,0.21799
63.5578,272.624,265.112,0.233134
55.1159,240.801,234.408,0.228886
60.7862,265.978,258.939,0.228538
67.9781,292.796,284.796,0.232169
54.7298,244.018,237.802,0.224286
63.9868,277.192,269.705,0.230839
67.8446,294.507,286.586,0.230367
54.8669,240.489,234.146,0.228148
67.0768,289.553,281.676,0.231656
68.3794,297.924,289.971,0.229519
57.6215,249.102,242.346,0.231317
69.162,298.546,290.424,0.231663
71.5491,304.277,295.746,0.235144
58.1516,256.622,249.947,0.226604
73.7449,314.603,305.838,0.234406
71.993,311.645,303.216,0.23101
59.2779,260.686,253.857,0.227392
77.7417,327.519,318.158,0.237366
72.4849,312.731,304.215,0.23178
66.3741,279.324,271.323,0.237624
80.3578,335.697,325.937,0.239376
75.8797,318.835,309.674,0.237991
69.6714,295.705,287.38,0.235612
86.135,352.593,341.91,0.24429
74.9174,316.265,307.263,0.236882
75.8077,317.912,308.742,0.238455
89.7541,366.923,355.777,0.244613
75.0525,318.406,309.434,0.235713
80.4721,330.569,320.624,0.243435
92.0446,372.076,360.512,0.247381
76.999,320.935,311.562,0.239921
83.152,345.822,335.676,0.240448
91.5608,371.544,360.086,0.246433
79.0465,325.364,315.616,0.242948
85.3177,349.183,338.6,0.244335
92.8848,375.618,363.952,0.247285
81.4688,334.372,324.296,0.243647
1539.04,1744.59,821.564,0.882176
422.246,902.048,797.119,0.468098
86.3801,350.921,340.124,0.246153
93.0375,377.198,365.544,0.246654
98.9392,395.617,383.045,0.250088
88.772,358.85,347.697,0.247379
95.424,379.508,367.315,0.251442
101.255,395.87,382.702,0.255779
93.8764,374.289,362.325,0.250813
100.742,400.437,387.558,0.25158
102.594,409.633,396.577,0.250454
97.0179,386.184,373.799,0.251222
106.121,417.078,403.352,0.254439
110.379,428.776,414.325,0.257429
103.487,402.678,389.153,0.256996
113.965,434.66,419.454,0.262194
116.613,434.462,418.52,0.268408
116.254,432.539,416.624,0.26877
119.637,441.783,425.276,0.270804
112.517,421.197,405.89,0.267137
127.921,465.549,447.629,0.274774
121.955,445.437,428.417,0.273786
117.233,436.363,420.32,0.268659
128.776,472.215,454.317,0.272706
130.221,475.229,457.04,0.274018
15.1411,136.388,135.545,1.#QNAN
4.98295,10.8475,9.63522,1.#QNAN
5.0303,10.9139,9.68554,1.#QNAN
5.14146,11.067,9.80021,1.#QNAN
5.06922,10.7244,9.45072,1.#QNAN
10.1112,79.2001,78.552,1.#QNAN
169.554,753.387,734.059,0.225056
98.5399,428.455,416.969,0.229989
83.5827,378.821,369.485,0.220639
90.6449,401.023,390.644,0.226034
90.0133,401.013,390.78,0.224465
