P,S,Q,PF
1.82215,6.06225,5.78192,1.#QNAN
1.68787,5.52803,5.26405,1.#QNAN
1.59481,4.69943,4.42054,1.#QNAN
1.59514,6.22379,6.0159,1.#QNAN
1.42928,4.95763,4.74713,1.#QNAN
1.29648,4.07382,3.86202,1.#QNAN
1.39957,5.08554,4.88916,1.#QNAN
1.57895,5.56309,5.33432,1.#QNAN
1.65394,5.66131,5.41432,1.#QNAN
1.56184,4.91528,4.66053,1.#QNAN
1.63635,3.92203,3.56436,1.#QNAN
1.39931,4.25411,4.01739,1.#QNAN
1.44275,4.63232,4.40192,1.#QNAN
1.66968,4.66353,4.35438,1.#QNAN
1.70237,4.65679,4.33447,1.#QNAN
1.56163,5.87338,5.66197,1.#QNAN
1.52707,4.72778,4.47436,1.#QNAN
1.59593,3.86838,3.52383,1.#QNAN
1.64538,5.67703,5.43336,1.#QNAN
1.83755,4.70193,4.328,1.#QNAN
1.44547,4.81846,4.59654,1.#QNAN
1.63533,4.85606,4.57242,1.#QNAN
1.30215,4.71928,4.53607,1.#QNAN
1.39781,3.97187,3.71778,1.#QNAN
1.41679,4.61484,4.39198,1.#QNAN
1.91627,4.63326,4.21841,1.#QNAN
1.71288,4.35881,4.00816,1.#QNAN
2.22492,4.76089,4.20901,1.#QNAN
1.60947,5.75374,5.52405,1.#QNAN
1.63362,4.90112,4.62085,1.#QNAN
1.70378,4.83669,4.52667,1.#QNAN
1.6146,4.45303,4.15,1.#QNAN
1.40998,5.01707,4.81487,1.#QNAN
1.71032,4.11715,3.7451,1.#QNAN
1.56778,5.13536,4.8902,1.#QNAN
1.45918,4.2904,4.03465,1.#QNAN
1.61016,4.84591,4.57058,1.#QNAN
1.99943,4.53802,4.07381,1.#QNAN
1.51947,4.93185,4.69195,1.#QNAN
1.23839,5.38074,5.23629,1.#QNAN
1.7839,4.98927,4.65945,1.#QNAN
1.53335,4.50549,4.23654,1.#QNAN
1.30921,6.37857,6.24277,1.#QNAN
1639.86,1717.94,512.055,-0.954546
1791.75,1792.01,30.7368,0.999853
1788.07,1788.37,32.8862,0.999831
1784.16,1784.5,34.9678,0.999808
1782.01,1782.3,32.6228,0.999832
1777.43,1777.73,32.7681,0.99983
1775.07,1775.34,30.9677,0.999848
1770.78,1771.14,35.9548,0.999794
1770.05,1770.33,31.9414,0.999837
1767.78,1768.01,29.0345,0.999865
1768.44,1768.72,31.3209,0.999843
1767.33,1767.59,30.4179,0.999852
1767.6,1767.88,31.237,0.999844
1768.07,1768.32,29.7405,0.999859
1767.67,1767.96,32.1248,0.999835
1767.33,1767.62,31.9453,0.999837
1765.85,1766.16,33.1889,0.999823
1764.1,1764.37,31.229,0.999843
1763.03,1763.33,32.6917,0.999828
1763.45,1763.71,29.8622,0.999857
1763.83,1764.1,30.5491,0.99985
1763.78,1764.09,33.0492,0.999825
1765.16,1765.43,31.0202,0.999846
1762.98,1763.24,30.5778,0.99985
1764.98,1765.3,33.8378,0.999816
1766.15,1766.43,31.7057,0.999839
1765.74,1765.99,29.9249,0.999856
1766.32,1766.52,26.8095,0.999885
1766.72,1766.99,30.8666,0.999847
1766.4,1766.63,28.6749,0.999868
1765.79,1766.14,34.9249,0.999804
1763.15,1763.48,33.8932,0.999815
1759.53,1759.88,35.1532,0.999801
1758.93,1759.2,30.6186,0.999849
1762.14,1762.49,35.1461,0.999801
1762.52,1762.83,33.0189,0.999825
1763.29,1763.59,32.8481,0.999827
1763.38,1763.73,34.8461,0.999805
1764.41,1764.73,33.7046,0.999818
1763.46,1763.71,30.0707,0.999855
1763.21,1763.48,30.6513,0.999849
1765.47,1765.73,30.4836,0.999851
1765.01,1765.29,31.4364,0.999841
1763.7,1763.98,31.4126,0.999841
1765.61,1765.96,35.2633,0.999801
1765.69,1766.03,34.3111,0.999811
1764.63,1764.93,32.7605,0.999828
1763.31,1763.62,33.2039,0.999823
1763.81,1764.09,31.0886,0.999845
1764.28,1764.54,29.9833,0.999856
1761.56,1761.87,32.5768,0.999829
1760.41,1760.71,32.8329,0.999826
1761.86,1762.15,32.0897,0.999834
1762.8,1763.06,30.1745,0.999854
1762.97,1763.29,33.6972,0.999817
1764.73,1765.02,32.28,0.999833
1764.23,1764.51,30.9597,0.999846
1764.9,1765.2,32.6458,0.999829
1762.14,1762.43,32.0117,0.999835
1762.13,1762.46,33.6155,0.999818
1762.55,1762.85,32.117,0.999834
1762.16,1762.45,32.1209,0.999834
1762.82,1763.13,32.7414,0.999828
1763.1,1763.46,35.5317,0.999797
1762.43,1762.75,33.3841,0.999821
1764.23,1764.48,29.8664,0.999857
1765.23,1765.53,32.7719,0.999828
1764.77,1765.07,32.7032,0.999828
1767.39,1767.67,31.6702,0.999839
1766.27,1766.59,33.4402,0.999821
1766.03,1766.32,32.4191,0.999832
1767.25,1767.53,31.3528,0.999843
1767.84,1768.07,28.5394,0.99987
1768.99,1769.37,36.5513,0.999787
1769.61,1769.92,33.0757,0.999825
1768.43,1768.8,36.3971,0.999788
1767.39,1767.71,33.8932,0.999816
1765.39,1765.7,32.8519,0.999827
1766.7,1766.95,29.4576,0.999861
1768.72,1769.04,33.989,0.999815
1766.75,1767.09,34.5905,0.999808
1765.4,1765.68,31.4881,0.999841
1765.09,1765.45,35.3871,0.999799
1765.18,1765.49,33.3242,0.999822
1764.46,1764.8,34.402,0.99981
1764.08,1764.33,29.5762,0.999859
1764.64,1764.97,33.9301,0.999815
1762.35,1762.56,27.1892,0.999881
1762.11,1762.44,34.3839,0.99981
1763.77,1764.02,29.5677,0.99986
1766.26,1766.61,35.2775,0.999801
1767.7,1767.93,28.6007,0.999869
1767.34,1767.58,29.3641,0.999862
1766.42,1766.83,37.6231,0.999773
1766.38,1766.68,32.5192,0.999831
1767.78,1768.14,35.4542,0.999799
1768.13,1768.45,33.9374,0.999816
1766.99,1767.33,34.8963,0.999805
1765.45,1765.72,30.8707,0.999847
1767.13,1767.39,30.3645,0.999852
1765.55,1765.87,33.3729,0.999821
1765.94,1766.23,32.4692,0.999831
1765.18,1765.45,30.4261,0.999851
1765.27,1765.54,30.6023,0.99985
1767.03,1767.32,32.1636,0.999834
1768.65,1768.98,34.2819,0.999812
1770.81,1771.11,32.6994,0.99983
1770.46,1770.68,27.8343,0.999876
1770.37,1770.66,31.7687,0.999839
1770.82,1771.11,32.0039,0.999837
1770.07,1770.33,30.541,0.999851
1768.72,1768.99,30.7937,0.999848
1767.68,1768.05,36.3146,0.999789
1768.53,1768.83,33.0908,0.999825
1767.12,1767.47,35.3589,0.9998
1767.57,1767.91,34.9964,0.999804
1766.66,1766.98,33.6341,0.999819
1767.73,1768.05,33.6526,0.999819
1766.53,1766.9,36.0659,0.999792
1766.79,1767.09,32.7719,0.999828
1767.45,1767.78,34.5434,0.999809
1766.43,1766.76,34.3693,0.999811
1767.92,1768.18,30.7042,0.999849
1767.2,1767.46,30.2944,0.999853
1764.51,1764.86,35.0963,0.999802
1764.83,1765.13,32.5308,0.99983
1764.36,1764.62,30.2655,0.999853
1764.32,1764.65,34.3074,0.999811
1765.61,1765.92,33.1059,0.999824
1766.26,1766.56,32.6343,0.999829
1766.15,1766.44,32.2296,0.999834
1763.58,1763.96,36.6026,0.999785
1764.32,1764.63,33.0227,0.999825
1763.31,1763.61,32.7223,0.999828
1764.89,1765.21,33.3729,0.999821
1767.73,1767.99,30.5696,0.999851
1767.44,1767.68,29.4024,0.999862
1766.99,1767.28,31.5555,0.999841
1766.24,1766.56,33.9411,0.999815
1765.9,1766.23,34.0698,0.999814
1763.74,1764.07,34.2929,0.999811
1764.39,1764.64,29.6479,0.999859
1763.89,1764.12,28.2577,0.999872
1764.9,1765.16,30.2614,0.999853
1763.53,1763.81,31.4364,0.999841
1765.5,1765.73,28.5963,0.999869
1766.08,1766.42,34.271,0.999812
1765.24,1765.54,32.6726,0.999829
1764.8,1765.08,31.5595,0.99984
1764.23,1764.53,32.6726,0.999829
1765.52,1765.83,32.9924,0.999825
1764.79,1765.05,30.541,0.99985
1762.19,1762.46,30.9839,0.999846
1760.84,1761.19,34.8138,0.999805
1762.75,1763,29.8664,0.999856
1763.43,1763.7,31.0685,0.999845
1763.77,1764.14,36.0694,0.999791
1764.18,1764.55,35.826,0.999794
1764.56,1764.81,29.7405,0.999858
1764.6,1764.9,32.6917,0.999828
1763.51,1763.84,34.2746,0.999811
1762.89,1763.22,34.4456,0.999809
1761.72,1762.03,33.0983,0.999824
1760.5,1760.81,33.0757,0.999824
1760.56,1760.91,34.8497,0.999804
1760.65,1760.95,32.8215,0.999826
1759.24,1759.5,30.4097,0.999851
1759.67,1760,34.26,0.999811
1760.78,1761.05,30.899,0.999846
1762.06,1762.4,34.6591,0.999807
1761.97,1762.26,31.7411,0.999838
1761.12,1761.35,28.3989,0.99987
1757.32,1757.66,34.5362,0.999807
1220.38,1472.33,823.663,0.828878
1.44188,5.781,5.5983,1.#QNAN
1.31422,5.41214,5.25015,1.#QNAN
1.45134,4.92644,4.70781,1.#QNAN
1.66448,4.88862,4.59653,1.#QNAN
1.52392,5.03509,4.79894,1.#QNAN
1.41705,4.66938,4.44917,1.#QNAN
1.60806,4.73094,4.44927,1.#QNAN
1.59941,4.55666,4.26674,1.#QNAN
1.50701,4.46633,4.20441,1.#QNAN
1.47555,5.01111,4.78894,1.#QNAN
1.84582,5.38348,5.05716,1.#QNAN
1.67894,4.81599,4.51386,1.#QNAN
1.45,4.31496,4.06403,1.#QNAN
1.34818,4.63686,4.43654,1.#QNAN
1.63659,4.96008,4.68231,1.#QNAN
1.67481,5.67698,5.42431,1.#QNAN
1.6762,5.08769,4.80364,1.#QNAN
1.65763,6.16551,5.9385,1.#QNAN
1.75094,5.44663,5.15752,1.#QNAN
1.86103,4.56472,4.16811,1.#QNAN
1.49538,5.24395,5.02621,1.#QNAN
1.72339,5.78821,5.52569,1.#QNAN
1.50934,4.92584,4.6889,1.#QNAN
1.63901,5.54154,5.29361,1.#QNAN
1.78538,5.81946,5.53882,1.#QNAN
1.62635,5.40576,5.15531,1.#QNAN
1.88969,4.71253,4.31706,1.#QNAN
1.55347,4.49079,4.21354,1.#QNAN
1.68314,5.28286,5.00756,1.#QNAN
1.47366,4.20629,3.93969,1.#QNAN
1.52327,5.26812,5.04308,1.#QNAN
1.68177,5.38964,5.12054,1.#QNAN
1.66396,5.12399,4.84629,1.#QNAN
1.88252,4.86912,4.49048,1.#QNAN
1.78146,4.33025,3.94683,1.#QNAN
1.65977,4.62755,4.31965,1.#QNAN
1.67161,5.11649,4.83572,1.#QNAN
1.87314,5.17249,4.82142,1.#QNAN
1.75855,6.10734,5.84868,1.#QNAN
1.97718,4.90333,4.48702,1.#QNAN
1.69617,4.97792,4.68004,1.#QNAN
1.56531,4.85955,4.60055,1.#QNAN
1.76216,4.97081,4.64798,1.#QNAN
1.584,4.9208,4.65889,1.#QNAN
1.71422,4.7701,4.45143,1.#QNAN
1.687,5.45768,5.19041,1.#QNAN
1.39454,4.09251,3.84758,1.#QNAN
1.62829,4.50936,4.20512,1.#QNAN
1.78461,4.67208,4.31781,1.#QNAN
1.76948,4.54645,4.18798,1.#QNAN
1.78595,4.43467,4.05915,1.#QNAN
1.31689,4.59339,4.40057,1.#QNAN
1.88554,4.98556,4.61525,1.#QNAN
1.62421,5.11658,4.85194,1.#QNAN
1.78101,5.05086,4.72643,1.#QNAN
1.84117,5.15316,4.81302,1.#QNAN
1.87564,5.90918,5.60361,1.#QNAN
1.90766,5.42614,5.07974,1.#QNAN
1.51956,5.75781,5.55367,1.#QNAN
1.71082,5.44452,5.16874,1.#QNAN
1.27944,5.80838,5.66571,1.#QNAN
1.63232,4.80793,4.52236,1.#QNAN
1.59678,4.84134,4.57044,1.#QNAN
2.00661,4.82329,4.38608,1.#QNAN
1.51132,4.70204,4.45254,1.#QNAN
1.43034,4.70826,4.48573,1.#QNAN
1.88815,4.13894,3.68316,1.#QNAN
1.64831,5.66932,5.42441,1.#QNAN
1.51454,5.2933,5.072,1.#QNAN
1.73145,6.58916,6.3576,1.#QNAN
1.71397,4.83745,4.52363,1.#QNAN
1.53659,4.9589,4.71483,1.#QNAN
1.55847,5.05817,4.8121,1.#QNAN
1.63201,4.65739,4.36209,1.#QNAN
1.66424,5.66404,5.41403,1.#QNAN
1486.15,1638.13,689.074,-0.907225
1791.51,1791.86,35.2172,0.999807
1787.96,1788.3,34.3911,0.999815
1785.9,1786.2,32.6113,0.999833
1783.14,1783.42,31.6938,0.999842
1780.04,1780.36,33.8711,0.999819
1776.36,1776.63,30.9798,0.999848
1772.43,1772.77,34.7563,0.999808
1770.84,1771.09,29.5762,0.999861
1768.92,1769.26,34.6915,0.999808
1766.79,1767.1,33.3542,0.999822
1764.52,1764.82,32.28,0.999833
