P,S,Q,PF
3.15085,30.3153,30.1511,1.#QNAN
3.24686,30.2827,30.1081,1.#QNAN
3.12479,30.4942,30.3336,1.#QNAN
3.07134,30.1421,29.9852,1.#QNAN
3.19551,30.3313,30.1625,1.#QNAN
3.007,30.3376,30.1882,1.#QNAN
3.11959,30.2448,30.0834,1.#QNAN
3.09698,30.3157,30.157,1.#QNAN
3.12111,30.4017,30.2411,1.#QNAN
3.14815,30.2826,30.1185,1.#QNAN
3.11449,30.1474,29.9861,1.#QNAN
3.08388,30.0702,29.9116,1.#QNAN
3.04795,30.202,30.0478,1.#QNAN
3.24391,30.195,30.0203,1.#QNAN
3.02684,30.1998,30.0477,1.#QNAN
3.12081,30.1621,30.0003,1.#QNAN
3.07688,30.0718,29.914,1.#QNAN
3.07039,30.2952,30.1392,1.#QNAN
3.14202,30.2229,30.0591,1.#QNAN
3.03799,30.2397,30.0867,1.#QNAN
3.09449,30.3005,30.1421,1.#QNAN
3.08871,30.7054,30.5497,1.#QNAN
3.14083,30.4086,30.2459,1.#QNAN
3.1087,30.2865,30.1265,1.#QNAN
3.04593,30.3134,30.16,1.#QNAN
3.12319,30.3703,30.2092,1.#QNAN
3.14542,30.1523,29.9877,1.#QNAN
3.13062,30.286,30.1238,1.#QNAN
3.00248,30.3258,30.1768,1.#QNAN
4.39522,31.224,30.9132,1.#QNAN
7.94491,32.9376,31.965,1.#QNAN
409.464,533.823,342.499,-0.767042
1003.34,1010.25,117.932,-0.993163
1160.08,1165.45,111.718,-0.995395
1245.96,1250.08,101.343,-0.996708
1215.3,1219.53,101.558,-0.996526
1268.55,1272.6,101.45,-0.996817
1225.73,1230.02,102.521,-0.99652
1278.42,1282.45,101.632,-0.996855
1242.1,1246.29,102.177,-0.996634
1278.29,1282.48,103.616,-0.996731
1299,1302.96,101.477,-0.996963
1296.52,1300.47,101.233,-0.996966
1296.78,1300.76,101.606,-0.996944
1294.91,1298.85,101.088,-0.996967
1291.05,1295.01,101.117,-0.996947
1290.07,1294,100.83,-0.99696
1289.49,1293.5,101.785,-0.996899
1288.28,1292.28,101.56,-0.996907
1289.72,1293.67,100.975,-0.996949
1290.63,1294.59,101.16,-0.996942
1291.47,1295.46,101.531,-0.996924
1292.44,1296.43,101.644,-0.996922
1291.05,1294.95,100.392,-0.99699
1289.6,1293.52,100.665,-0.996967
1288.56,1292.54,101.275,-0.996926
1289.88,1293.79,100.511,-0.996978
1291.33,1295.34,101.906,-0.996901
1291.43,1295.43,101.786,-0.996908
1290.25,1294.31,102.473,-0.996861
1297.68,1301.85,104.144,-0.996795
1375.36,1379.11,101.693,-0.997278
1372.98,1376.76,101.872,-0.997259
