P,S,Q,PF
2.65094,28.3881,28.264,1.#QNAN
2.67422,28.5288,28.4032,1.#QNAN
2.65497,28.6609,28.5377,1.#QNAN
2.67639,28.8152,28.6907,1.#QNAN
2.68475,28.6741,28.5482,1.#QNAN
2.71602,28.7591,28.6306,1.#QNAN
2.67328,28.5382,28.4127,1.#QNAN
2.62024,28.6413,28.5212,1.#QNAN
2.66438,28.6268,28.5026,1.#QNAN
2.68233,28.5826,28.4565,1.#QNAN
2.71831,28.4532,28.3231,1.#QNAN
2.68757,28.2786,28.1506,1.#QNAN
2.52266,28.4344,28.3223,1.#QNAN
2.66674,28.1402,28.0136,1.#QNAN
2.47458,28.0269,27.9174,1.#QNAN
2.60811,28.4405,28.3207,1.#QNAN
2.60714,28.3217,28.2014,1.#QNAN
24.7333,61.2995,56.0883,1.#QNAN
249.084,254.812,53.7238,0.977521
246.109,248.579,34.9552,0.990064
230.474,231.687,23.6766,0.994765
219.033,219.776,18.0619,0.996617
214.613,215.213,16.0569,0.997213
213.188,213.751,15.5067,0.997365
212.614,213.172,15.4159,0.997382
212.189,212.743,15.3402,0.997397
212.013,212.587,15.6104,0.9973
211.739,212.3,15.427,0.997356
211.348,211.902,15.3037,0.997389
211.31,211.843,15.0138,0.997485
211.163,211.695,15.0072,0.997484
212.339,212.932,15.882,0.997214
215.34,216.036,17.3192,0.996781
214.408,215.031,16.3625,0.997101
214.129,214.771,16.5922,0.997011
214.055,214.69,16.4909,0.997046
214.244,214.86,16.2607,0.997132
214.087,214.676,15.8887,0.997257
214.006,214.626,16.2917,0.997115
213.8,214.393,15.9293,0.997236
213.216,213.819,16.0436,0.997181
213.649,214.238,15.8852,0.997247
213.485,214.097,16.1787,0.997141
213.334,213.934,16.0162,0.997194
213.254,213.817,15.502,0.997368
213.185,213.775,15.8725,0.99724
213.201,213.786,15.7974,0.997266
212.743,213.374,16.393,0.997044
212.669,213.259,15.8594,0.997231
212.646,213.218,15.6045,0.997318
212.59,213.163,15.6226,0.997311
212.646,213.21,15.5081,0.997351
212.464,213.04,15.6649,0.997293
212.426,212.996,15.5689,0.997325
212.057,212.649,15.8537,0.997217
212.04,212.599,15.4155,0.997368
211.968,212.518,15.2788,0.997412
211.807,212.356,15.2583,0.997415
211.898,212.471,15.5941,0.997303
211.736,212.297,15.4141,0.997361
211.964,212.52,15.3657,0.997383
211.754,212.313,15.4033,0.997365
211.625,212.19,15.4729,0.997338
211.449,212.001,15.2942,0.997394
211.351,211.941,15.803,0.997216
211.319,211.903,15.7231,0.997243
211.159,211.727,15.4997,0.997317
210.817,211.379,15.4072,0.99734
210.952,211.525,15.5582,0.997291
210.852,211.397,15.1679,0.997423
210.714,211.274,15.3689,0.997351
210.6,211.161,15.373,0.997346
210.857,211.409,15.2738,0.997387
210.711,211.271,15.3692,0.99735
210.731,211.305,15.5663,0.997283
210.426,210.99,15.4205,0.997326
210.53,211.107,15.6025,0.997265
209.232,209.739,14.5691,0.997585
210.453,211.034,15.6367,0.997251
210.23,210.76,14.9384,0.997485
210.148,210.718,15.488,0.997295
520.13,608.229,315.289,-0.855155
1138.58,1142.59,95.5903,-0.996494
1254.74,1256.6,68.3475,-0.99852
1318.21,1320.1,70.5824,-0.99857
1324.5,1326.25,68.1707,-0.998678
1380.26,1382.04,70.165,-0.99871
1367.81,1369.58,69.5908,-0.998708
1392.26,1394,69.6769,-0.99875
1357.28,1359.1,70.3935,-0.998658
1375.73,1377.46,69.0045,-0.998744
1355.66,1357.44,69.5557,-0.998686
1386.66,1388.48,71.182,-0.998685
1400.67,1402.41,69.7379,-0.998763
1404.92,1406.59,68.3319,-0.998819
1410.01,1411.7,68.9574,-0.998806
1409.14,1410.87,69.8686,-0.998773
1407.35,1409.07,69.6599,-0.998777
1407.64,1409.33,69.0136,-0.9988
1407.96,1409.64,68.7341,-0.998811
1408.38,1410.13,70.116,-0.998763
1409.01,1410.68,68.6449,-0.998815
1409.4,1411.11,69.4181,-0.998789
1410.18,1411.93,70.3367,-0.998758
1411.04,1412.83,71.1451,-0.998731
1411.71,1413.38,68.5793,-0.998822
1412.5,1414.25,70.4441,-0.998759
1413.6,1415.27,68.6285,-0.998824
1414.45,1416.15,69.4649,-0.998796
1413.31,1415.03,69.7397,-0.998785
1219.62,1301.61,454.656,-0.93701
233.061,251.038,93.2882,-0.928389
948.545,967.885,192.52,-0.980018
1347.83,1349.99,76.4338,-0.998396
1341.01,1343.49,81.513,-0.998158
218.379,247.877,117.277,0.880996
808.67,852.736,270.576,-0.948324
1289.32,1292.28,87.4836,-0.997706
1336.84,1338.7,70.5257,-0.998611
1357.71,1359.53,70.2754,-0.998663
1364.53,1366.31,69.7495,-0.998696
1363.03,1364.73,68.2349,-0.998749
1361.22,1363.02,70.1106,-0.998676
1360.49,1362.28,69.908,-0.998682
1360.75,1362.56,70.1383,-0.998674
1359.55,1361.38,70.4672,-0.998659
1360.62,1362.42,70.0214,-0.998678
1360.67,1362.52,71.0035,-0.998641
1361.14,1363.02,71.645,-0.998618
1360.78,1362.62,70.896,-0.998646
1360.57,1362.42,70.9287,-0.998644
1359.42,1361.24,70.3642,-0.998663
1359.16,1360.89,68.5903,-0.998729
1360.32,1362.09,69.5746,-0.998695
1360.94,1362.71,69.4595,-0.9987
1359.36,1361.18,70.4645,-0.998659
1359.92,1361.7,69.6958,-0.998689
1360.58,1362.41,70.6912,-0.998653
1359.54,1361.34,70.0455,-0.998675
1358.62,1360.46,70.8184,-0.998644
1361.16,1362.99,70.5576,-0.998659
1362.11,1363.97,71.0932,-0.998641
1362.39,1364.26,71.4108,-0.998629
1361.39,1363.22,70.7337,-0.998653
1362.14,1364.02,71.5743,-0.998622
1362.58,1364.44,71.2689,-0.998635
1362.08,1363.87,69.8704,-0.998687
1361.98,1363.87,71.9157,-0.998609
1358.81,1360.7,71.7138,-0.99861
1360,1361.81,70.2798,-0.998667
1359.34,1361.15,70.1062,-0.998673
1359,1360.86,71.1776,-0.998631
1358.49,1360.32,70.4654,-0.998657
1359.98,1361.79,70.1614,-0.998672
1360.38,1362.3,72.3533,-0.998589
1359.36,1361.19,70.4486,-0.99866
1359.84,1361.63,69.7657,-0.998687
1359.25,1361.03,69.7119,-0.998687
1359.71,1361.55,70.7769,-0.998648
1359.91,1361.73,70.4406,-0.998661
1359.04,1360.8,69.2667,-0.998704
1359.62,1361.5,71.5681,-0.998617
1359.11,1360.95,70.7328,-0.998648
1358.4,1360.23,70.4929,-0.998656
1357.49,1359.32,70.5284,-0.998653
1358.5,1360.32,70.3571,-0.998662
