P,S,Q,PF
2.9195,10.4473,10.0311,1.#QNAN
3.098,10.6902,10.2314,1.#QNAN
2.98509,10.5131,10.0804,1.#QNAN
3.04605,10.3538,9.8956,1.#QNAN
2.99657,10.4638,10.0255,1.#QNAN
2.97306,10.4449,10.0129,1.#QNAN
3.12031,10.8656,10.4079,1.#QNAN
3.02513,10.5392,10.0957,1.#QNAN
3.01988,10.5179,10.075,1.#QNAN
3.04665,10.432,9.97717,1.#QNAN
2.95587,10.1968,9.75902,1.#QNAN
2.93674,10.258,9.82866,1.#QNAN
2.99711,10.4189,9.97847,1.#QNAN
2.93485,10.7726,10.3651,1.#QNAN
3.05032,10.6138,10.166,1.#QNAN
3.05736,10.4343,9.97637,1.#QNAN
3.01102,10.1617,9.70534,1.#QNAN
2.95486,10.4687,10.043,1.#QNAN
2.92324,10.6141,10.2036,1.#QNAN
3.03265,10.8693,10.4377,1.#QNAN
3.03576,10.4466,9.99577,1.#QNAN
3.10528,10.2388,9.7566,1.#QNAN
3.12972,10.4637,9.98464,1.#QNAN
3.01813,10.5817,10.1422,1.#QNAN
3.01851,10.3219,9.87065,1.#QNAN
3.08208,10.1581,9.67929,1.#QNAN
2.93987,10.7244,10.3136,1.#QNAN
3.0359,10.2995,9.84192,1.#QNAN
2.87796,10.3953,9.98896,1.#QNAN
2.98481,10.4991,10.0659,1.#QNAN
3.02639,10.5545,10.1113,1.#QNAN
3.02115,10.4171,9.96938,1.#QNAN
3.10149,10.4485,9.97754,1.#QNAN
3.06021,10.3895,9.9286,1.#QNAN
3.03457,10.493,10.0446,1.#QNAN
3.02324,10.2498,9.79376,1.#QNAN
2.90868,10.2767,9.85644,1.#QNAN
3.04036,10.5787,10.1323,1.#QNAN
552.925,826.769,614.671,-0.668779
1207.87,1207.68,0,-1
1199.73,1199.44,0,-1
1194.53,1194.35,0,-1
1190.95,1190.7,0,-1
1188.8,1188.56,0,-1
1188.59,1188.32,0,-1
1188.02,1187.82,0,-1
1188.42,1188.22,0,-1
1186.42,1186.17,0,-1
1184.34,1184.16,0,-1
1184.66,1184.41,0,-1
1184.45,1184.2,0,-1
1185.06,1184.78,0,-1
1185.72,1185.47,0,-1
1185.66,1185.49,0,-1
1185.19,1184.96,0,-1
1186.73,1186.48,0,-1
1186.57,1186.25,0,-1
1188.78,1188.48,0,-1
1189.18,1188.96,0,-1
1189.7,1189.53,0,-1
1188.59,1188.42,0,-1
1187.24,1187,0,-1
1186.31,1186.1,0,-1
1188.15,1187.89,0,-1
1188.13,1187.97,0,-1
1187.9,1187.74,0,-1
1188.38,1188.16,0,-1
1188.4,1188.15,0,-1
1187.87,1187.62,0,-1
1187.02,1186.78,0,-1
1184.65,1184.44,0,-1
1186.1,1185.89,0,-1
1187.21,1186.95,0,-1
1187.49,1187.22,0,-1
1188.08,1187.89,0,-1
1187.78,1187.62,0,-1
1188.37,1188.11,0,-1
1187.63,1187.42,0,-1
1186.18,1186.01,0,-1
1184.26,1184.02,0,-1
1183.55,1183.3,0,-1
1184.58,1184.41,0,-1
1181.94,1181.74,0,-1
1195.47,1196.01,35.6651,-0.999555
1211.17,1211.12,0,-1
1225.3,1225.2,0,-1
1225.13,1225.16,9.0967,-0.999972
1227.36,1227.33,0,-1
1228.17,1228.1,0,-1
1235.36,1235.44,14.0668,-0.999935
1239.99,1240.07,14.3701,-0.999933
1240.59,1240.68,14.9917,-0.999927
1240.48,1240.51,8.66747,-0.999976
1242.75,1242.78,8.49264,-0.999977
1242.81,1242.85,10.1427,-0.999967
1242.09,1242.26,20.3685,-0.999866
1243.9,1243.95,11.1467,-0.99996
1243.75,1243.76,5.90551,-0.999989
1244.54,1244.53,0,-1
1211.91,1227.08,192.344,-0.987638
60.9242,75.2828,44.2238,1.#QNAN
61.5986,66.1264,24.0481,1.#QNAN
61.577,66.1232,24.0945,1.#QNAN
61.5085,66.232,24.5638,1.#QNAN
