P,S,Q,PF
1.15979,4.56003,4.41008,1.#QNAN
1.00926,5.07989,4.97863,1.#QNAN
1.13801,4.92634,4.79309,1.#QNAN
1.06509,5.34836,5.24124,1.#QNAN
1.15835,4.41582,4.26119,1.#QNAN
1.02229,5.23053,5.12965,1.#QNAN
1.15019,4.82411,4.68499,1.#QNAN
1.20945,5.61772,5.48598,1.#QNAN
1.09062,4.8055,4.6801,1.#QNAN
1.1074,4.96418,4.83909,1.#QNAN
1.02722,5.15007,5.04658,1.#QNAN
0.912798,5.09977,5.01741,1.#QNAN
0.979436,4.14178,4.02431,1.#QNAN
1.14147,4.82006,4.68295,1.#QNAN
1.00485,5.91477,5.82879,1.#QNAN
1.12657,5.11508,4.98948,1.#QNAN
1.10542,4.70306,4.5713,1.#QNAN
1.02706,4.6581,4.54346,1.#QNAN
1.14641,4.52694,4.37938,1.#QNAN
1.26578,5.10449,4.94506,1.#QNAN
1.01162,4.96432,4.86015,1.#QNAN
1.08131,4.49851,4.36662,1.#QNAN
1.02038,5.18109,5.07961,1.#QNAN
1.01366,4.81633,4.70845,1.#QNAN
1.21152,5.38474,5.24668,1.#QNAN
1.04527,5.16123,5.05427,1.#QNAN
1.11519,5.01748,4.89197,1.#QNAN
1.02209,5.03619,4.93139,1.#QNAN
1.13488,4.55792,4.41437,1.#QNAN
1.19272,4.82057,4.67068,1.#QNAN
1.14772,4.72139,4.57977,1.#QNAN
1.16862,5.81763,5.69905,1.#QNAN
1.04815,4.98834,4.87698,1.#QNAN
0.925168,4.24329,4.14121,1.#QNAN
6.03321,10.4057,8.47811,1.#QNAN
13.0428,13.7259,4.27641,1.#QNAN
12.9072,13.7425,4.71815,1.#QNAN
13.1024,13.7104,4.03749,1.#QNAN
13.054,13.888,4.74018,1.#QNAN
13.1468,13.8502,4.35783,1.#QNAN
2.2331,6.11289,5.69041,1.#QNAN
1.09231,5.02187,4.90164,1.#QNAN
1.2701,4.75014,4.57719,1.#QNAN
1.05028,5.00922,4.89788,1.#QNAN
0.943628,4.03581,3.92395,1.#QNAN
1.13477,5.08135,4.95302,1.#QNAN
1.08122,4.94649,4.82688,1.#QNAN
1.29681,4.41812,4.22351,1.#QNAN
1.06366,4.70822,4.5865,1.#QNAN
0.845353,5.71615,5.65329,1.#QNAN
1.10105,5.40645,5.29314,1.#QNAN
0.889469,4.1946,4.09921,1.#QNAN
1.20217,4.23244,4.05812,1.#QNAN
1.17109,4.58781,4.43583,1.#QNAN
1.22178,5.95454,5.82784,1.#QNAN
1.36429,5.26883,5.08914,1.#QNAN
1.18715,4.92097,4.77562,1.#QNAN
1.11646,5.04593,4.92087,1.#QNAN
1.02239,4.3474,4.22547,1.#QNAN
0.840066,4.32314,4.24073,1.#QNAN
1.06461,4.76995,4.64963,1.#QNAN
1.04892,4.61925,4.49858,1.#QNAN
0.99366,4.74598,4.6408,1.#QNAN
1.22877,5.81071,5.6793,1.#QNAN
1.16533,5.16476,5.03157,1.#QNAN
1.32952,5.34753,5.17962,1.#QNAN
1.05899,5.24147,5.13338,1.#QNAN
1.13654,4.91661,4.78344,1.#QNAN
1.12885,5.42627,5.30755,1.#QNAN
1.01464,5.50226,5.4079,1.#QNAN
1.15992,5.49339,5.36954,1.#QNAN
1.25485,5.05899,4.90089,1.#QNAN
1.14237,5.00363,4.87148,1.#QNAN
1.02382,5.47902,5.38251,1.#QNAN
1.25741,4.92692,4.76377,1.#QNAN
1.38179,5.51836,5.34256,1.#QNAN
1.09075,4.55075,4.4181,1.#QNAN
0.955547,5.21532,5.12703,1.#QNAN
1.16287,4.69765,4.55145,1.#QNAN
1.09773,4.92136,4.79737,1.#QNAN
1.29106,4.50316,4.31411,1.#QNAN
1.08444,4.69047,4.56339,1.#QNAN
1.19644,4.89361,4.7451,1.#QNAN
1.17811,4.35992,4.19774,1.#QNAN
1.20257,4.9076,4.75798,1.#QNAN
1.09334,4.45177,4.31542,1.#QNAN
1.12173,4.18704,4.03398,1.#QNAN
1.09718,4.24911,4.10501,1.#QNAN
1.01839,5.24539,5.14558,1.#QNAN
1.18751,4.84929,4.70165,1.#QNAN
1.12068,5.13614,5.01238,1.#QNAN
1.00925,3.7553,3.61714,1.#QNAN
0.886341,4.91707,4.83652,1.#QNAN
1.16754,5.15151,5.01746,1.#QNAN
1.25964,5.58006,5.43603,1.#QNAN
1.03312,4.46826,4.34719,1.#QNAN
1.10782,4.99021,4.86569,1.#QNAN
1.26336,5.71005,5.56854,1.#QNAN
1.16043,5.90654,5.79143,1.#QNAN
1.14774,5.19781,5.06951,1.#QNAN
1.12588,4.5929,4.45276,1.#QNAN
1.12593,4.79264,4.65851,1.#QNAN
1.10458,5.82168,5.71593,1.#QNAN
1.17404,5.03535,4.89657,1.#QNAN
1.28499,5.16697,5.00464,1.#QNAN
1.17205,5.69282,5.57086,1.#QNAN
1.05721,4.87061,4.75449,1.#QNAN
1.06259,5.23783,5.12892,1.#QNAN
1.24948,4.47034,4.29217,1.#QNAN
1.18501,4.43456,4.2733,1.#QNAN
1.17615,4.98176,4.84093,1.#QNAN
1.28749,4.63158,4.44904,1.#QNAN
1.01721,4.73403,4.62345,1.#QNAN
1.1329,4.88476,4.75157,1.#QNAN
1.05731,5.89525,5.79966,1.#QNAN
1.16728,5.37528,5.247,1.#QNAN
0.94306,6.1426,6.06977,1.#QNAN
0.959999,4.3441,4.2367,1.#QNAN
1.17024,4.7974,4.65248,1.#QNAN
1.22662,4.42238,4.24887,1.#QNAN
0.927105,4.51624,4.42006,1.#QNAN
1.248,5.46687,5.32252,1.#QNAN
1.08405,6.66139,6.57259,1.#QNAN
1.11453,6.51238,6.4163,1.#QNAN
1.18727,5.26965,5.13417,1.#QNAN
1.11119,5.50026,5.38684,1.#QNAN
1.06786,4.69485,4.57179,1.#QNAN
0.988385,4.83478,4.73267,1.#QNAN
1.27112,4.95622,4.79044,1.#QNAN
1.13822,5.00173,4.8705,1.#QNAN
0.881851,4.2982,4.20677,1.#QNAN
1.18052,4.70838,4.55798,1.#QNAN
1.04186,4.73049,4.61433,1.#QNAN
1.06306,5.00575,4.89157,1.#QNAN
1.15047,5.18069,5.05133,1.#QNAN
1.20291,5.53053,5.39813,1.#QNAN
1.03011,4.67925,4.56445,1.#QNAN
1.07432,4.19959,4.05985,1.#QNAN
1.17922,4.82104,4.6746,1.#QNAN
1.08453,5.48595,5.37768,1.#QNAN
1.24156,4.70173,4.53484,1.#QNAN
1.08401,5.14493,5.02943,1.#QNAN
1.19146,4.9404,4.79458,1.#QNAN
1.22588,5.78329,5.65187,1.#QNAN
1.00999,4.92861,4.82401,1.#QNAN
1.06209,6.53021,6.44326,1.#QNAN
1.25023,5.08646,4.93042,1.#QNAN
1.02288,4.54403,4.42741,1.#QNAN
1.11869,5.0218,4.89561,1.#QNAN
1.01155,4.85068,4.74404,1.#QNAN
1.10899,4.22039,4.07207,1.#QNAN
1.20827,4.81442,4.66033,1.#QNAN
1.10466,4.04203,3.88815,1.#QNAN
1.1679,5.33266,5.20319,1.#QNAN
1.29006,4.89169,4.71851,1.#QNAN
1.20545,4.45132,4.28499,1.#QNAN
1.3232,4.28983,4.08066,1.#QNAN
1.33152,4.55322,4.35417,1.#QNAN
1.31134,4.92474,4.74694,1.#QNAN
1.1987,4.96609,4.81925,1.#QNAN
1.08575,5.83563,5.73373,1.#QNAN
1.02526,4.92403,4.81611,1.#QNAN
0.848447,4.95116,4.87792,1.#QNAN
1.03016,5.66617,5.57173,1.#QNAN
1.02628,6.15947,6.07337,1.#QNAN
1.0915,4.63387,4.50349,1.#QNAN
1.04733,4.40598,4.27969,1.#QNAN
1.05773,4.89318,4.77749,1.#QNAN
1.10636,4.72066,4.58918,1.#QNAN
1.1782,4.4253,4.26557,1.#QNAN
1.15224,5.13146,5.00042,1.#QNAN
1.05522,4.89115,4.77597,1.#QNAN
1.04863,5.01301,4.9021,1.#QNAN
1.08504,5.0843,4.96718,1.#QNAN
1.06667,5.24781,5.13826,1.#QNAN
1.05968,4.96313,4.84869,1.#QNAN
1.09961,4.67683,4.54572,1.#QNAN
1.2151,4.92994,4.77785,1.#QNAN
1.01301,5.82993,5.74125,1.#QNAN
1.17708,4.59714,4.44389,1.#QNAN
1.00688,6.11134,6.02782,1.#QNAN
1.25925,4.72817,4.5574,1.#QNAN
1.14765,4.82272,4.68418,1.#QNAN
1.07826,5.7517,5.64973,1.#QNAN
1.13299,4.98333,4.85283,1.#QNAN
1.10742,4.92023,4.79399,1.#QNAN
1.06835,4.95181,4.83519,1.#QNAN
1.12659,5.19104,5.06732,1.#QNAN
1.12051,4.81964,4.68758,1.#QNAN
1.04499,4.7276,4.61066,1.#QNAN
1.02293,5.09752,4.99383,1.#QNAN
0.961732,5.37564,5.28891,1.#QNAN
1.10159,5.15195,5.0328,1.#QNAN
1.03893,5.7418,5.64703,1.#QNAN
1.2539,5.02103,4.86194,1.#QNAN
0.924268,4.21795,4.11544,1.#QNAN
1.25916,5.76672,5.62757,1.#QNAN
1.28031,5.46897,5.31699,1.#QNAN
1.27003,5.23375,5.07732,1.#QNAN
1.1175,5.04225,4.91686,1.#QNAN
0.939772,5.44001,5.35822,1.#QNAN
1.24444,4.63504,4.46486,1.#QNAN
1.20343,4.91707,4.76753,1.#QNAN
1.06565,5.10211,4.98959,1.#QNAN
1.01392,4.63935,4.5272,1.#QNAN
1.38362,4.67577,4.46637,1.#QNAN
0.941102,4.47838,4.37838,1.#QNAN
1.26691,6.09793,5.96487,1.#QNAN
1.14377,4.94689,4.81285,1.#QNAN
1.2341,5.25959,5.11276,1.#QNAN
1.04719,4.3068,4.17755,1.#QNAN
1.00256,5.51982,5.42801,1.#QNAN
1.16268,4.48009,4.32659,1.#QNAN
1.24427,4.41914,4.24035,1.#QNAN
1.13077,4.37036,4.22154,1.#QNAN
1.05449,4.49314,4.36764,1.#QNAN
1.21071,5.58986,5.45717,1.#QNAN
1.13869,6.2072,6.10186,1.#QNAN
1.03942,4.62927,4.51107,1.#QNAN
1.17051,5.09578,4.95952,1.#QNAN
1.08992,6.33417,6.2397,1.#QNAN
1.06319,5.17655,5.06619,1.#QNAN
1.15042,5.10816,4.97694,1.#QNAN
0.91478,4.5936,4.50159,1.#QNAN
1.21616,5.13044,4.98421,1.#QNAN
1.19341,4.81837,4.66824,1.#QNAN
1.18358,4.92344,4.77906,1.#QNAN
1.05825,5.1491,5.03918,1.#QNAN
1.16091,4.39103,4.23479,1.#QNAN
1.16287,4.66318,4.51586,1.#QNAN
0.967885,4.85337,4.75588,1.#QNAN
1.043,4.86379,4.75064,1.#QNAN
1.02019,4.26993,4.14627,1.#QNAN
1.0264,4.59625,4.48018,1.#QNAN
1.10372,5.12056,5.00019,1.#QNAN
1.12271,5.13295,5.00866,1.#QNAN
1.20093,4.90059,4.75116,1.#QNAN
1.00209,4.70624,4.59832,1.#QNAN
1.10069,4.36335,4.22224,1.#QNAN
1.08757,4.9699,4.84944,1.#QNAN
1.23051,5.68921,5.55454,1.#QNAN
1.04197,4.30555,4.17757,1.#QNAN
1.20396,4.17984,4.0027,1.#QNAN
0.934403,5.37043,5.28852,1.#QNAN
1.15582,5.21148,5.08169,1.#QNAN
1.29618,5.33269,5.17276,1.#QNAN
0.96896,5.77206,5.69015,1.#QNAN
1.31639,5.22626,5.05775,1.#QNAN
1.12548,4.74037,4.60482,1.#QNAN
1.16722,5.3412,5.21211,1.#QNAN
1.05593,4.51993,4.39486,1.#QNAN
1.02254,4.29028,4.16665,1.#QNAN
1.14709,5.14456,5.01504,1.#QNAN
1.00519,6.00285,5.91809,1.#QNAN
1.07438,5.43334,5.32606,1.#QNAN
1.74963,5.47457,5.18746,1.#QNAN
1.39201,4.49417,4.27316,1.#QNAN
1.58635,5.64071,5.41305,1.#QNAN
1.67298,5.56562,5.30823,1.#QNAN
1.63865,4.53998,4.23393,1.#QNAN
1.45581,5.02452,4.809,1.#QNAN
1.53938,5.02504,4.78345,1.#QNAN
12.2099,13.943,6.73245,1.#QNAN
