P,S,Q,PF
1.51048,10.7293,10.6225,0.1
1.39075,10.5163,10.424,1.#QNAN
1.47073,10.3127,10.2073,1.#QNAN
1.41234,10.4294,10.3333,1.#QNAN
1.31351,10.0434,9.9571,1.#QNAN
1.33985,10.7471,10.6633,1.#QNAN
1.39235,10.1015,10.0051,1.#QNAN
1.41989,10.2791,10.1806,1.#QNAN
1.59887,10.5878,10.4663,1.#QNAN
1.47636,10.1955,10.0881,1.#QNAN
1.30476,10.1514,10.0672,1.#QNAN
1.41499,10.0675,9.96757,1.#QNAN
1.32362,9.99571,9.90768,1.#QNAN
1.54238,10.295,10.1788,1.#QNAN
1.32934,11.1618,11.0824,1.#QNAN
1.37139,10.2948,10.2031,1.#QNAN
1.4014,10.6654,10.5729,1.#QNAN
1.4946,10.3485,10.24,1.#QNAN
1.35135,10.4042,10.3161,1.#QNAN
1.35723,10.3738,10.2846,1.#QNAN
1.36756,10.3156,10.2245,1.#QNAN
1.40678,10.8186,10.7268,1.#QNAN
1.36473,10.347,10.2566,1.#QNAN
1.49142,10.2748,10.166,1.#QNAN
1.37271,10.9737,10.8875,1.#QNAN
1.39742,10.9016,10.8117,1.#QNAN
1.33041,10.0574,9.96902,1.#QNAN
1.43032,10.0887,9.98683,1.#QNAN
1.35655,10.0884,9.99678,1.#QNAN
1.45678,10.7826,10.6838,1.#QNAN
1.437,10.7715,10.6752,1.#QNAN
1.4066,10.5802,10.4863,1.#QNAN
1.47459,10.4084,10.3035,1.#QNAN
1.44811,10.1134,10.0092,1.#QNAN
1.43453,10.3334,10.2333,1.#QNAN
1.42389,9.94022,9.83771,1.#QNAN
1.55351,10.3567,10.2395,1.#QNAN
1.40417,10.6184,10.5251,1.#QNAN
1.35177,10.6799,10.594,1.#QNAN
1.45926,10.1065,10.0006,1.#QNAN
1.41555,10.326,10.2286,1.#QNAN
1.50458,10.1134,10.0009,1.#QNAN
10.2149,44.5278,43.3403,1.#QNAN
23.6393,31.8618,21.3626,1.#QNAN
46.4019,51.7641,22.9431,1.#QNAN
46.6694,52.138,23.2452,1.#QNAN
48.2232,53.7118,23.6533,1.#QNAN
49.1237,54.8282,24.3515,1.#QNAN
44.7494,51.2651,25.0121,1.#QNAN
61.0418,66.1724,25.5477,1.#QNAN
60.9536,65.9255,25.1164,1.#QNAN
61.1523,66.0551,24.9735,1.#QNAN
61.2902,66.1269,24.825,1.#QNAN
61.063,65.9349,24.8742,1.#QNAN
60.9213,65.8706,25.0506,1.#QNAN
61.1046,66.2225,25.5273,1.#QNAN
61.0054,66.3692,26.1383,1.#QNAN
60.4489,65.9427,26.3509,1.#QNAN
60.4313,66.0546,26.6697,1.#QNAN
60.3761,66.0193,26.7073,1.#QNAN
60.9693,66.6376,26.8945,1.#QNAN
60.7919,66.1549,26.0926,1.#QNAN
61.0643,66.3052,25.8366,1.#QNAN
61.1182,66.2877,25.6636,1.#QNAN
60.6977,65.723,25.2053,1.#QNAN
60.9237,65.7653,24.7666,1.#QNAN
60.98,65.7735,24.6493,1.#QNAN
59.5342,64.6607,25.2326,1.#QNAN
60.1456,65.195,25.1576,1.#QNAN
60.1471,65.1186,24.9551,1.#QNAN
60.6371,65.7521,25.426,1.#QNAN
59.8889,65.246,25.8912,1.#QNAN
60.1644,65.6003,26.1465,1.#QNAN
60.4853,66.0707,26.5868,1.#QNAN
60.652,66.2597,26.6773,1.#QNAN
60.6606,66.3153,26.7958,1.#QNAN
60.0193,65.5571,26.3707,1.#QNAN
58.8247,64.3409,26.0653,1.#QNAN
59.7114,65.1354,26.0225,1.#QNAN
59.7059,65.1668,26.1135,1.#QNAN
59.3594,64.6251,25.5512,1.#QNAN
59.4261,64.6027,25.3385,1.#QNAN
59.383,64.4884,25.1478,1.#QNAN
59.4038,64.4659,25.0408,1.#QNAN
59.4766,64.4613,24.8553,1.#QNAN
59.4295,64.4449,24.9255,1.#QNAN
59.5548,64.498,24.7631,1.#QNAN
59.576,64.4903,24.692,1.#QNAN
59.602,64.4718,24.5808,1.#QNAN
59.4334,64.2044,24.2874,1.#QNAN
59.5157,64.2826,24.2925,1.#QNAN
59.55,64.3642,24.4245,1.#QNAN
59.563,64.322,24.2812,1.#QNAN
59.5062,64.3414,24.471,1.#QNAN
59.7576,64.6338,24.6284,1.#QNAN
59.5349,64.5547,24.9579,1.#QNAN
59.5992,64.7005,25.1812,1.#QNAN
59.5022,64.6792,25.3552,1.#QNAN
59.5309,64.8797,25.7964,1.#QNAN
59.5046,64.9259,25.9725,1.#QNAN
59.5082,65.027,26.216,1.#QNAN
50.4846,57.4086,27.3322,1.#QNAN
59.2449,65.2475,27.3364,1.#QNAN
60.3907,65.9848,26.5889,1.#QNAN
60.2565,65.8644,26.5946,1.#QNAN
60.2865,65.7976,26.3604,1.#QNAN
60.2852,65.786,26.3343,1.#QNAN
60.2605,65.7287,26.2476,1.#QNAN
60.4284,65.7956,26.0283,1.#QNAN
60.2145,65.5649,25.9418,1.#QNAN
60.2917,65.4693,25.5175,1.#QNAN
59.8491,65.0295,25.4346,1.#QNAN
59.634,64.6893,25.0696,1.#QNAN
59.7535,64.8396,25.1733,1.#QNAN
59.5488,64.6176,25.0874,1.#QNAN
59.549,64.6676,25.2154,1.#QNAN
59.5346,64.6824,25.2873,1.#QNAN
59.7815,64.907,25.2804,1.#QNAN
59.6147,64.7444,25.257,1.#QNAN
59.5308,64.7156,25.3811,1.#QNAN
60.1062,65.4325,25.8584,1.#QNAN
59.5071,64.8108,25.6776,1.#QNAN
60.2038,65.6374,26.1491,1.#QNAN
60.1666,65.8097,26.6626,1.#QNAN
59.7447,65.3431,26.4629,1.#QNAN
60.1417,65.765,26.6086,1.#QNAN
58.34,64.3647,27.1893,1.#QNAN
59.369,64.759,25.866,1.#QNAN
60.2867,65.4893,25.5806,1.#QNAN
60.0993,65.0071,24.779,1.#QNAN
59.6711,64.4932,24.4689,1.#QNAN
59.1799,64.0082,24.3882,1.#QNAN
58.7657,63.634,24.4105,1.#QNAN
58.8955,63.7499,24.4003,1.#QNAN
59.5593,64.7053,25.2876,1.#QNAN
60.2311,65.4457,25.5998,1.#QNAN
59.5277,64.7561,25.4913,1.#QNAN
59.9186,65.2732,25.8914,1.#QNAN
60.3295,65.8647,26.4294,1.#QNAN
59.582,65.1942,26.4626,1.#QNAN
59.9016,65.5146,26.5322,1.#QNAN
60.1948,65.7928,26.5572,1.#QNAN
60.2627,65.7697,26.345,1.#QNAN
60.1221,65.4494,25.8642,1.#QNAN
60.2351,65.3524,25.3507,1.#QNAN
60.1325,65.1663,25.1143,1.#QNAN
60.1711,65.0668,24.7615,1.#QNAN
60.1104,64.9687,24.6508,1.#QNAN
60.2259,65.0305,24.5317,1.#QNAN
60.0933,64.9227,24.5712,1.#QNAN
60.2076,64.9771,24.435,1.#QNAN
60.028,64.8618,24.5702,1.#QNAN
60.208,65.1073,24.7781,1.#QNAN
59.62,64.5402,24.7161,1.#QNAN
59.3403,64.3196,24.8143,1.#QNAN
60.329,65.329,25.0655,1.#QNAN
60.2379,65.2639,25.1151,1.#QNAN
60.2262,65.2967,25.2283,1.#QNAN
60.2437,65.3434,25.3073,1.#QNAN
60.1659,65.3278,25.4515,1.#QNAN
59.7716,64.8878,25.2543,1.#QNAN
59.5016,64.5844,25.1138,1.#QNAN
60.1555,65.1259,24.9541,1.#QNAN
59.5474,64.5638,24.9516,1.#QNAN
60.2412,65.1624,24.8424,1.#QNAN
60.1389,65.0029,24.6715,1.#QNAN
58.7089,63.5155,24.2381,1.#QNAN
59.9541,64.7301,24.4029,1.#QNAN
60.1858,65,24.5493,1.#QNAN
59.7562,64.6144,24.5807,1.#QNAN
59.2645,64.3584,25.0944,1.#QNAN
60.0083,65.3458,25.8665,1.#QNAN
60.1708,65.7024,26.3871,1.#QNAN
60.1543,65.7783,26.6128,1.#QNAN
60.3235,65.9673,26.6977,1.#QNAN
60.3004,65.7012,26.0867,1.#QNAN
59.5419,64.7965,25.5608,1.#QNAN
58.4673,63.5752,24.9676,1.#QNAN
40.8235,47.4767,24.2378,1.#QNAN
40.6735,46.1319,21.7673,1.#QNAN
