P,S,Q,PF
1.81732,4.80788,4.45119,1.#QNAN
1.89771,4.8542,4.46788,1.#QNAN
1.72366,4.99383,4.68693,1.#QNAN
1.60508,4.48657,4.18964,1.#QNAN
1.61206,4.75099,4.46913,1.#QNAN
1.98679,5.08348,4.67915,1.#QNAN
1.44376,4.23359,3.97981,1.#QNAN
1.40477,4.57438,4.35334,1.#QNAN
1.49966,4.91075,4.67616,1.#QNAN
1.73339,4.08066,3.69421,1.#QNAN
1.505,4.94972,4.71537,1.#QNAN
1.55917,4.27101,3.97624,1.#QNAN
1.29292,3.74092,3.51039,1.#QNAN
1.57379,4.09768,3.78341,1.#QNAN
433.045,746.684,608.284,0.579958
1262.26,1262.45,22.2486,-0.999845
1252.9,1253.1,22.3383,-0.999841
1246.61,1246.81,22.4054,-0.999839
1244.23,1244.3,13.1101,-0.999944
1244.7,1244.92,23.2513,-0.999826
1243.84,1244.06,23.6696,-0.999819
1244.19,1244.42,23.5133,-0.999821
1244.92,1245.08,19.7389,-0.999874
1244.34,1244.48,18.7183,-0.999887
1243.85,1244.09,24.1143,-0.999812
1245.18,1245.37,21.4738,-0.999851
1245.2,1245.38,21.0921,-0.999857
1246.41,1246.55,18.725,-0.999887
1245.01,1245.23,23.5213,-0.999822
1244.4,1244.57,20.8297,-0.99986
1244.17,1244.27,15.5403,-0.999922
1243.22,1243.4,21.5145,-0.99985
1242.65,1242.83,21.3776,-0.999852
1242.06,1242.22,19.4872,-0.999877
1243.45,1243.64,21.9089,-0.999845
1245.51,1245.71,22.2317,-0.999841
1246.09,1246.31,23.0705,-0.999829
1245.93,1246.14,22.5666,-0.999836
1246.31,1246.52,23.176,-0.999827
1245.96,1246.18,23.2782,-0.999826
1245.91,1246.09,21.5232,-0.999851
1243.95,1244.14,21.2368,-0.999854
1244.88,1245,16.9742,-0.999907
1245.54,1245.72,21.5639,-0.99985
1245.38,1245.56,20.6246,-0.999863
1244.98,1245.14,20.3562,-0.999866
1244.24,1244.42,20.8866,-0.999859
1243.9,1244.14,24.7159,-0.999803
1244.61,1244.78,20.5152,-0.999864
1242.23,1242.38,18.6916,-0.999887
1241.75,1241.94,21.6304,-0.999848
1242.62,1242.81,21.7054,-0.999847
1243.08,1243.23,19.3067,-0.999879
1244.26,1244.41,19.2029,-0.999881
1242.78,1242.92,19.1605,-0.999881
1243.57,1243.72,19.7421,-0.999874
1243.4,1243.56,19.8652,-0.999872
1243.53,1243.68,19.3067,-0.999879
1244.38,1244.52,18.1968,-0.999893
1245.14,1245.34,22.2739,-0.99984
1245.17,1245.37,22.436,-0.999838
1244.07,1244.31,24.5255,-0.999806
1245.04,1245.23,21.468,-0.999851
1245.43,1245.69,25.3673,-0.999793
1244.77,1245.04,25.8288,-0.999785
1245.42,1245.66,24.1376,-0.999812
1245.11,1245.34,23.8694,-0.999816
1244.96,1245.13,20.1587,-0.999869
1244.61,1244.85,24.4182,-0.999808
1242.51,1242.75,24.5077,-0.999806
1242.25,1242.5,24.8872,-0.999799
1242,1242.18,21.2426,-0.999854
1240.84,1241.09,24.8068,-0.9998
1242.55,1242.75,22.1303,-0.999841
1243.15,1243.36,22.4805,-0.999837
1242.07,1242.32,25.0025,-0.999797
1241.19,1241.35,19.9468,-0.999871
1241.18,1241.36,21.1217,-0.999855
1241.38,1241.54,20.2423,-0.999867
1248.5,1248.72,23.2218,-0.999827
1248.15,1248.33,21.5436,-0.999851
1247.92,1248.17,24.9249,-0.999801
1248.25,1248.45,22.4109,-0.999839
1249.42,1249.63,22.9946,-0.999831
1250,1250.18,21.7428,-0.999849
1250.08,1250.28,22.0511,-0.999844
1250.36,1250.55,22.2064,-0.999842
1250.96,1251.16,22.7816,-0.999834
1251.04,1251.23,21.7112,-0.999849
1249.8,1250.02,23.3586,-0.999825
1249.12,1249.35,24.135,-0.999813
1248.24,1248.39,19.5416,-0.999877
1247.7,1247.9,22.4889,-0.999838
1248.24,1248.44,22.561,-0.999837
1248.39,1248.57,21.2955,-0.999855
1247.93,1248.12,21.6189,-0.99985
1247.74,1247.92,21.6737,-0.999849
1247.2,1247.39,21.906,-0.999846
1247.04,1247.17,18.0174,-0.999896
1248.14,1248.33,21.642,-0.99985
1248.3,1248.4,15.3093,-0.999925
1250.23,1250.35,17.2699,-0.999905
1250.25,1250.45,22.3187,-0.999841
1250.06,1250.26,22.436,-0.999839
1251.53,1251.66,18.1521,-0.999895
1251.63,1251.82,21.8832,-0.999847
1250.8,1251.02,23.0651,-0.99983
1250.98,1251.16,21.2397,-0.999856
1251.85,1252.05,22.5583,-0.999838
1252.2,1252.39,21.7112,-0.99985
1253.04,1253.23,21.7342,-0.99985
1250.19,1250.36,20.7093,-0.999863
1251.17,1251.31,18.7116,-0.999888
1251.32,1251.5,21.3131,-0.999855
1250.72,1250.95,24.0676,-0.999815
1248.76,1248.99,23.8223,-0.999818
1247.32,1247.52,22.2177,-0.999841
1248.11,1248.34,24.1713,-0.999813
1247.75,1247.96,22.9918,-0.99983
1248.06,1248.27,23.3158,-0.999826
1247.6,1247.79,21.7227,-0.999848
1246.65,1246.83,21.3395,-0.999854
1244.99,1245.22,24.0026,-0.999814
1243.9,1244.05,19.3261,-0.999879
1243.49,1243.63,19.0329,-0.999883
1242.08,1242.29,22.7733,-0.999832
1241.95,1242.1,19.2808,-0.99988
1242.7,1242.8,15.9844,-0.999917
1243.19,1243.38,21.5291,-0.99985
1243.88,1244.09,22.6025,-0.999835
1247.4,1247.57,20.3531,-0.999867
1248.78,1249.01,23.6405,-0.999821
1248.44,1248.7,25.4583,-0.999792
1246.76,1246.87,15.9609,-0.999918
1246.34,1246.47,18.3269,-0.999892
1245.99,1246.21,23.0814,-0.999828
1245.54,1245.66,17.0953,-0.999906
1245.96,1246.12,20.4236,-0.999866
1246.76,1246.97,22.7431,-0.999834
1247,1247.22,23.2889,-0.999826
1246.22,1246.42,22.2233,-0.999841
1246.59,1246.77,21.2397,-0.999855
1246.57,1246.8,24.1169,-0.999813
1245.75,1245.92,20.8327,-0.99986
1245.44,1245.59,19.7737,-0.999874
1245.28,1245.48,22.5555,-0.999836
1244.33,1244.52,21.7025,-0.999848
1244.21,1244.42,23.1679,-0.999827
1243.89,1244.1,23.0868,-0.999828
1245.14,1245.26,17.8045,-0.999898
1245.81,1245.92,16.9706,-0.999907
1245.5,1245.65,19.7769,-0.999874
1244.94,1245.09,19.631,-0.999876
1246.15,1246.4,24.9499,-0.9998
1245.6,1245.77,20.5213,-0.999864
1245.82,1245.98,19.84,-0.999873
1245.75,1245.93,21.1158,-0.999856
1245.57,1245.75,21.1365,-0.999856
1245.5,1245.67,20.0935,-0.99987
1246.14,1246.35,22.7486,-0.999833
1246.96,1247.15,21.7169,-0.999848
1246.92,1247.12,22.3579,-0.999839
1246.39,1246.63,24.0546,-0.999814
1246.9,1246.99,15.0291,-0.999927
1246.66,1246.85,22.0879,-0.999843
1244.05,1244.24,22.0312,-0.999843
1244.83,1245.01,20.7153,-0.999862
1246.05,1246.25,22.4639,-0.999838
1246.6,1246.83,24.0988,-0.999813
1245.06,1245.29,23.8091,-0.999817
1245.42,1245.65,23.5956,-0.999821
1244.15,1244.39,24.3465,-0.999809
1242.84,1242.98,18.4255,-0.99989
1243.59,1243.76,20.6398,-0.999862
1244.23,1244.39,19.9029,-0.999872
1244.8,1244.99,21.2368,-0.999855
1246.47,1246.7,23.8642,-0.999817
1247.08,1247.31,23.9008,-0.999816
1247.7,1247.97,25.593,-0.99979
1247.72,1247.94,23.4707,-0.999823
1248.38,1248.6,22.9946,-0.99983
1245.9,1246.07,20.9225,-0.999859
1245.37,1245.51,18.2449,-0.999893
1246.13,1246.3,20.9016,-0.999859
1245.9,1246.1,22.119,-0.999842
1245.99,1246.21,23.4601,-0.999823
1245.51,1245.67,20.2762,-0.999867
1246.39,1246.64,24.9048,-0.9998
1247,1247.26,25.5612,-0.99979
