P,S,Q,PF
2.95797,10.0798,9.63604,1.#QNAN
2.92218,10.2897,9.86609,1.#QNAN
2.91074,9.92774,9.49145,1.#QNAN
2.88396,9.97628,9.55033,1.#QNAN
2.96547,10.5377,10.1119,1.#QNAN
2.96249,10.2696,9.83301,1.#QNAN
2.97742,10.3068,9.86736,1.#QNAN
2.89941,10.1596,9.73713,1.#QNAN
2.9408,10.1966,9.76335,1.#QNAN
431.442,731.538,590.768,-0.589773
1202,1201.79,0,-1
1192.19,1191.97,0,-1
1188.26,1188,0,-1
1185.54,1185.35,0,-1
1184.54,1184.36,0,-1
1184.42,1184.2,0,-1
1184.14,1183.93,0,-1
1184.46,1184.28,0,-1
1183.95,1183.79,0,-1
1183.84,1183.65,0,-1
1183.41,1183.19,0,-1
1183.46,1183.25,0,-1
1182.92,1182.7,0,-1
1183.32,1183.14,0,-1
1184.16,1183.97,0,-1
1184.3,1184.06,0,-1
1184.48,1184.18,0,-1
1185.12,1184.91,0,-1
1185.22,1185.02,0,-1
1184.74,1184.54,0,-1
1185.34,1185.08,0,-1
1185.2,1184.93,0,-1
1184.42,1184.17,0,-1
1186.24,1185.97,0,-1
1186.22,1185.91,0,-1
1186.62,1186.42,0,-1
1187.02,1186.84,0,-1
1186.99,1186.75,0,-1
1187.85,1187.56,0,-1
1188.19,1187.95,0,-1
1187.71,1187.49,0,-1
1187.9,1187.67,0,-1
1187.03,1186.79,0,-1
1186.6,1186.39,0,-1
1186.03,1185.8,0,-1
1186.14,1185.93,0,-1
1185.97,1185.76,0,-1
1183.92,1183.76,0,-1
1185.55,1185.39,0,-1
1185.36,1185.17,0,-1
1185.96,1185.81,0,-1
1186.81,1186.6,0,-1
1187.02,1186.76,0,-1
1187.02,1186.76,0,-1
1187.07,1186.81,0,-1
1188.17,1187.96,0,-1
1188.25,1187.97,0,-1
1189.14,1188.91,0,-1
1189.23,1188.95,0,-1
1188.89,1188.69,0,-1
1187.39,1187.16,0,-1
1198.34,1198.99,39.7351,-0.999451
1212.57,1212.52,0,-1
1230.16,1230.05,0,-1
1227.91,1227.88,0,-1
1229.32,1229.26,0,-1
1229.72,1229.78,11.3468,-0.999957
1219.81,1219.72,0,-1
1243.58,1243.62,9.18559,-0.999973
1241.62,1241.63,4.22788,-0.999994
1242.08,1242.1,7.50833,-0.999982
1243.36,1243.38,5.33854,-0.999991
1242.38,1242.4,6.30476,-0.999987
1241.81,1241.91,15.5844,-0.999921
1242.66,1242.72,12.0675,-0.999953
1240.61,1240.71,15.7242,-0.99992
1241.94,1241.97,7.92149,-0.99998
1241.28,1241.27,0,-1
1242.57,1242.56,0,-1
1243.23,1243.26,8.0234,-0.999979
1242.47,1242.55,14.2785,-0.999934
1244.38,1244.42,9.57862,-0.99997
1244.91,1244.87,0,-1
1244.18,1244.2,6.9282,-0.999985
1244.92,1244.93,4.41588,-0.999994
1243.07,1243.09,7.47496,-0.999982
1243.51,1243.54,8.47054,-0.999977
1245.81,1245.89,14.0312,-0.999937
1253.22,1253.31,14.8198,-0.99993
1260.45,1260.54,15.3664,-0.999926
1260.32,1260.36,10.0933,-0.999968
1260.95,1260.96,5.67891,-0.99999
1259.76,1259.84,14.3222,-0.999935
1258.89,1258.93,9.34077,-0.999972
1259.17,1259.15,0,-1
1258.54,1258.56,7.88194,-0.99998
1259.2,1259.21,5.37355,-0.999991
1259.22,1259.22,0,-1
1257.68,1257.68,0,-1
1257.6,1257.6,0,-1
1259.05,1259.01,0,-1
1259.85,1259.87,7.39932,-0.999983
1258.77,1258.82,10.4762,-0.999965
1258.21,1258.3,14.8198,-0.999931
1255.64,1255.63,0,-1
1254.37,1254.4,8.28402,-0.999978
1256.76,1256.77,3.53553,-0.999996
1256.16,1256.21,11.1411,-0.999961
1255.01,1255.09,14.4568,-0.999934
1253.57,1253.59,7.86607,-0.99998
1255.28,1255.25,0,-1
1254.19,1254.27,14.4395,-0.999934
1254.59,1254.64,11.3963,-0.999959
1254.94,1255.01,12.9567,-0.999947
1255.14,1255.24,15.9844,-0.999919
1256.88,1256.92,9.66307,-0.99997
1257.15,1257.17,6.98212,-0.999985
1257.68,1257.7,8.16241,-0.999979
1257.51,1257.56,11.3688,-0.999959
1257.19,1257.25,12.7574,-0.999949
1256.1,1256.15,11.592,-0.999957
1254.64,1254.64,4.1833,-0.999994
1254.31,1254.29,0,-1
1252.93,1252.92,0,-1
1251.88,1251.9,7.28869,-0.999983
1252.56,1252.6,10.332,-0.999966
1252.38,1252.41,8.8459,-0.999975
1253.36,1253.46,16.2788,-0.999916
1255.27,1255.3,9.06228,-0.999974
1256.25,1256.26,5.4658,-0.999991
1258.21,1258.2,0,-1
