P,S,Q,PF
2.8253,5.81559,5.08318,1.#QNAN
2.84315,6.69559,6.06197,1.#QNAN
2.90545,6.69701,6.03393,1.#QNAN
2.99972,5.89701,5.07704,1.#QNAN
2.9343,5.68726,4.87184,1.#QNAN
2.78919,5.48273,4.72025,1.#QNAN
2.82973,6.44931,5.79536,1.#QNAN
2.85224,5.75052,4.99332,1.#QNAN
2.83977,5.57763,4.80059,1.#QNAN
2.86633,5.84905,5.09858,1.#QNAN
2.839,5.87843,5.14743,1.#QNAN
2.90602,6.84568,6.19826,1.#QNAN
2.88362,5.88636,5.13167,1.#QNAN
2.76591,6.093,5.42904,1.#QNAN
2.78123,6.21145,5.554,1.#QNAN
2.96008,6.21202,5.46142,1.#QNAN
2.81407,6.27374,5.60721,1.#QNAN
2.76951,7.5647,7.0395,1.#QNAN
2.85894,5.86674,5.12299,1.#QNAN
2.83845,5.53227,4.74861,1.#QNAN
2.85101,5.59394,4.81288,1.#QNAN
2.82957,5.96612,5.25244,1.#QNAN
2.80213,5.90704,5.20012,1.#QNAN
2.89834,6.25792,5.54628,1.#QNAN
2.69913,5.70001,5.02044,1.#QNAN
2.9252,5.88881,5.1109,1.#QNAN
2.78337,7.27546,6.72199,1.#QNAN
2.86213,6.61075,5.95905,1.#QNAN
2.92894,5.95157,5.18097,1.#QNAN
2.829,5.71751,4.96857,1.#QNAN
2.8478,5.85687,5.1179,1.#QNAN
2.72001,6.45458,5.85347,1.#QNAN
2.82963,5.48798,4.70225,1.#QNAN
2.88338,6.05769,5.32745,1.#QNAN
2.93156,5.51029,4.66576,1.#QNAN
2.85049,5.94829,5.22081,1.#QNAN
2.92197,6.01319,5.25553,1.#QNAN
2.86106,5.77212,5.01315,1.#QNAN
2.74272,6.08682,5.43386,1.#QNAN
2.93511,5.86141,5.07358,1.#QNAN
2.78785,5.37464,4.59507,1.#QNAN
2.82484,6.20535,5.52509,1.#QNAN
2.88379,6.78821,6.14521,1.#QNAN
2.83133,6.31528,5.64503,1.#QNAN
2.88844,6.43174,5.74667,1.#QNAN
2.91361,6.00996,5.25647,1.#QNAN
2.87086,6.40814,5.72909,1.#QNAN
2.92688,5.92644,5.15325,1.#QNAN
2.94234,6.16789,5.42084,1.#QNAN
2.91939,5.92133,5.15164,1.#QNAN
2.89417,5.80225,5.02891,1.#QNAN
2.85152,5.97552,5.25126,1.#QNAN
2.89072,6.47909,5.79847,1.#QNAN
2.80626,5.86195,5.14658,1.#QNAN
2.86883,7.08386,6.47695,1.#QNAN
2.97971,5.57377,4.71044,1.#QNAN
3.08772,6.47519,5.69158,1.#QNAN
2.88317,7.08469,6.47149,1.#QNAN
2.69525,5.63811,4.95216,1.#QNAN
2.75176,6.71968,6.13041,1.#QNAN
2.92627,7.16671,6.54207,1.#QNAN
2.79492,5.89594,5.19139,1.#QNAN
2.87565,6.56672,5.9036,1.#QNAN
2.9148,5.75669,4.96421,1.#QNAN
2.88516,5.92129,5.17084,1.#QNAN
2.80769,6.39556,5.74631,1.#QNAN
2.85816,6.40227,5.72887,1.#QNAN
2.68387,5.51477,4.81762,1.#QNAN
2.94846,6.64524,5.95532,1.#QNAN
2.93281,6.26546,5.53666,1.#QNAN
2.82992,6.03717,5.33282,1.#QNAN
2.86079,5.57653,4.78681,1.#QNAN
2.88513,6.31497,5.61736,1.#QNAN
2.83935,6.11832,5.41959,1.#QNAN
2.87919,6.4032,5.71937,1.#QNAN
2.87625,5.89331,5.14377,1.#QNAN
2.87527,5.98232,5.24605,1.#QNAN
2.84098,6.70254,6.07066,1.#QNAN
